"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",74.1808650065531,25.8191349934469,31.9727997540157,13.5947664410482,9.08130741225379,2.82552596850987,0.382404105779546,0.176060580816864,9.13830107067932,2.67230110689494,2.85427552324832,1.48312304330659,0
"Non-plastic
genes",63.2258064516129,36.7741935483871,34.6645576638949,11.4657863163246,2.07509557928253,1.68584564813218,0.5437871502037,0.0460829493087558,9.88411327484283,1.83691746198965,0.7611931869522,0.26242722068149,0
