"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",58.3333333333333,41.6666666666667,5.62578951800304,10.3605129902698,2.14509244378743,3.65180403512198,6.81794745903905,2.15931818895943,8.38903287181766,7.39047024615007,7.24561630433373,4.54774927585112,0
"Non-plastic
genes",30.0995024875622,69.9004975124378,3.25409526626972,4.95010866183657,3.24247424766814,1.75327395740681,2.50741364251147,1.25336527310868,3.33343896543061,3.40281414338176,3.57835744669229,2.82416088325614,0
