"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"Plastic
genes",6.15989515072084,93.8401048492792,0.140423141733758,6.01947200898708,5.18005367284529,0.221556512513262,0.72083879423329,0.0374461711290021,0
"Non-plastic
genes",16.7741935483871,83.2258064516129,0,16.7741935483871,14.0684261974585,0.957268537913699,1.60256947353722,0.0460829493087558,0.0998463901689708
