"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",76.5399737876802,23.4600262123198,30.9098275989595,15.4134271363372,8.99982655056828,3.14100458244468,0.712455888694595,0.174105418400966,9.39373720502269,3.22338290515378,3.11795904959738,1.45424745250113,0
"Non-plastic
genes",64.1935483870968,35.8064516129032,33.5502179131888,12.3732846261862,2.52685218007799,1.60335003034957,0.336857012019754,0.053763440860215,9.63182147226636,2.8562007610171,0.539566110982568,0.721634840148164,0
