"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0.120689655172414,0.241379310344828,0.0689655172413793,0.0689655172413793,0.0172413793103448,0,0.241379310344828,0,0.241379310344828,0,0
"3",1,0,0.258620689655172,0.137931034482759,0.0172413793103448,0.0344827586206897,0.0344827586206897,0.0172413793103448,0.206896551724138,0.189655172413793,0.103448275862069,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0.0384615384615385,0.269230769230769,0.384615384615385,0,0,0,0.0384615384615385,0.0769230769230769,0.115384615384615,0.0769230769230769,0
"6",1,0,0.6,0,0,0,0,0,0.4,0,0,0,0
"7",1,0,0.2,0.4,0,0,0,0,0,0.4,0,0,0
"8",1,0,0,0.333333333333333,0,0,0.166666666666667,0,0,0.333333333333333,0.166666666666667,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0.172413793103448,0.0689655172413793,0,0.172413793103448,0,0,0.413793103448276,0,0.172413793103448,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",1,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0.142857142857143,0.428571428571429,0.142857142857143,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,0,0,0,1,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",1,0,0,0.173913043478261,0,0.0434782608695652,0.173913043478261,0.0869565217391304,0,0.304347826086957,0.130434782608696,0.0869565217391304,0
"18",0,1,0,0,0,0,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",1,0,0.75,0,0,0,0,0,0.25,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,1,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,1,0,0,0,0,0,0
"24",1,0,0.272727272727273,0,0,0.272727272727273,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0,0
"25",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"26",1,0,0.25,0,0,0.375,0,0,0.375,0,0,0,0
"27",1,0,0,0.205882352941176,0,0.0588235294117647,0.294117647058824,0.0588235294117647,0.0882352941176471,0.147058823529412,0.0588235294117647,0.0882352941176471,0
"28",1,0,0,0,0,0,0,0,0,1,0,0,0
