"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"Plastic
genes",47.6190476190476,52.3809523809524,2.86884189914649,8.79602797077029,6.89716992787403,6.1051533085101,2.61506736377288,7.40527940313254,7.42756751480304,5.50394023103826,0
"Non-plastic
genes",33.8308457711443,66.1691542288557,4.85639253113642,5.37888685038814,3.47211567774653,2.81460936200184,2.4526426276381,4.58247132070667,5.54761795769278,4.72610944383379,0
