"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"Plastic
genes",0,100,0,0,0,0,0,0,0,0,0
"Non-plastic
genes",19.5180722891566,80.4819277108434,1.29621182030821,4.66303511041286,1.58117585226019,1.39150809030327,1.06889897251343,3.62149078183805,2.22108543476368,3.67466622675694,0
