"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",55.5555555555556,44.4444444444444,5.25596757967188,8.51223861352026,2.41702051602256,3.60333097162561,6.45584188480148,2.88730232042953,8.30372856615275,6.86419530656805,6.95104545554312,4.30488434122033,0
"Non-plastic
genes",33.0845771144279,66.9154228855721,4.04917371480795,5.86519061415367,3.0060492517403,1.72012185105486,2.95908866441054,0.843603347297112,4.8054306213643,3.37402367446041,3.44833256278047,3.01356281235825,0
