"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",0,100,0,0,0,0,0,0,0,0,0,0,0
"Non-plastic
genes",11.0843373493976,88.9156626506024,1.75814068225176,2.67136840043099,0.436746987951807,0.770239335549356,0.33150954573229,0.0562248995983936,2.95251102604908,1.20256869522224,0.796594041671914,0.108433734939759,0
