"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",7.73263433813892,92.2673656618611,6.88947138488423,0.567933595456531,0,0,0,0,0.275229357798165,0,0,0,0
"Non-plastic
genes",14.8387096774194,85.1612903225806,14.0658602150538,0.208333333333333,0,0,0,0,0.564516129032258,0,0,0,0
