"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"Plastic
genes",16.4963503649635,83.5036496350365,0.802919708029197,4.57420924574209,3.04136253041362,2.36009732360097,0.218978102189781,2.37226277372263,0.510948905109489,2.61557177615572,0
"Non-plastic
genes",8.22784810126582,91.7721518987342,0.316455696202532,1.74050632911392,1.68776371308017,0.158227848101266,0,2.63713080168776,0.632911392405063,1.05485232067511,0
