"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"111",0,1,0,0,0,0,0,0,0,0,0
"112",1,0,0,0.5,0,0,0,0.5,0,0,0
"113",1,0,0,0.25,0,0,0,0.5,0,0.25,0
"114",0,1,0,0,0,0,0,0,0,0,0
"115",0,1,0,0,0,0,0,0,0,0,0
"116",0,1,0,0,0,0,0,0,0,0,0
"117",0,1,0,0,0,0,0,0,0,0,0
"118",0,1,0,0,0,0,0,0,0,0,0
"119",0,1,0,0,0,0,0,0,0,0,0
"120",0,1,0,0,0,0,0,0,0,0,0
"121",0,1,0,0,0,0,0,0,0,0,0
"122",0,1,0,0,0,0,0,0,0,0,0
"123",1,0,0,0,1,0,0,0,0,0,0
"124",0,1,0,0,0,0,0,0,0,0,0
"125",0,1,0,0,0,0,0,0,0,0,0
"126",0,1,0,0,0,0,0,0,0,0,0
"127",0,1,0,0,0,0,0,0,0,0,0
"128",0,1,0,0,0,0,0,0,0,0,0
"129",1,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0,0
"130",0,1,0,0,0,0,0,0,0,0,0
"131",0,1,0,0,0,0,0,0,0,0,0
"132",0,1,0,0,0,0,0,0,0,0,0
"133",0,1,0,0,0,0,0,0,0,0,0
"134",1,0,0,0,0,0,0,0,0,1,0
"135",0,1,0,0,0,0,0,0,0,0,0
"136",0,1,0,0,0,0,0,0,0,0,0
"137",0,1,0,0,0,0,0,0,0,0,0
"138",0,1,0,0,0,0,0,0,0,0,0
"139",1,0,0,0,0,0,1,0,0,0,0
"140",0,1,0,0,0,0,0,0,0,0,0
"141",1,0,0.0740740740740741,0.37037037037037,0.0740740740740741,0.037037037037037,0.111111111111111,0,0.111111111111111,0.222222222222222,0
"142",0,1,0,0,0,0,0,0,0,0,0
"143",0,1,0,0,0,0,0,0,0,0,0
"144",0,1,0,0,0,0,0,0,0,0,0
"145",0,1,0,0,0,0,0,0,0,0,0
"146",0,1,0,0,0,0,0,0,0,0,0
"147",0,1,0,0,0,0,0,0,0,0,0
"148",1,0,0,0.5,0,0,0,0,0.5,0,0
"149",1,0,0,0,0,0,0,0,1,0,0
"150",0,1,0,0,0,0,0,0,0,0,0
"151",0,1,0,0,0,0,0,0,0,0,0
"152",0,1,0,0,0,0,0,0,0,0,0
"153",0,1,0,0,0,0,0,0,0,0,0
"154",0,1,0,0,0,0,0,0,0,0,0
"155",0,1,0,0,0,0,0,0,0,0,0
"156",0,1,0,0,0,0,0,0,0,0,0
"157",0,1,0,0,0,0,0,0,0,0,0
"158",1,0,0,0,0.125,0.125,0,0.25,0.125,0.375,0
"159",1,0,0,0,0,0,0,0,1,0,0
"160",0,1,0,0,0,0,0,0,0,0,0
