"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",73.7876802096986,26.2123197903014,32.1193592836363,14.2739744824897,8.3203742452621,2.93134615683739,0.279197083901204,0.204487641422228,8.86826397181416,2.83800628948751,2.65732167784515,1.29534937700287,0
"Non-plastic
genes",62.9032258064516,37.0967741935484,35.8306577462175,11.9997550678291,2.01761276358051,1.24071819494021,0.395300935623516,0.0806451612903226,8.72717052081378,1.90338598782622,0.518079274720641,0.189900153609831,0
