"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"Plastic
genes",20.2942668696093,79.7057331303907,8.19402052521464,12.1002463443947,6.87369623912924,1.38155729373988,5.93428594800931,1.87031782876075,4.23440955997016
"Non-plastic
genes",7.01612903225806,92.9838709677419,2.46892724211273,4.54720179014534,2.66757100426455,0.669053728529535,1.78996373250406,0.458595168272588,1.43094539868733
