"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"Plastic
genes",0.356102298478472,99.6438977015215,0,0.258983489802525,0,0.0323729362253156,0,0.0323729362253156,0,0.0323729362253156,0
"Non-plastic
genes",0.0467945718296678,99.9532054281703,0,0.0467945718296678,0,0,0,0,0,0,0
