"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"45","sucD",1,0,0.103448275862069,0.310344827586207,0.137931034482759,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0.0689655172413793,0,0.0689655172413793,0
"46","ylaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","yijD",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","srlA",1,0,0.1875,0.5,0.0625,0,0,0.0625,0.0625,0.0625,0,0.0625,0
"49","srlB",1,0,0.333333333333333,0.555555555555556,0,0,0,0,0.111111111111111,0,0,0,0
"50","srlD",1,0,0.333333333333333,0.555555555555556,0,0,0,0,0.111111111111111,0,0,0,0
"51","srlE",1,0,0.333333333333333,0.555555555555556,0,0,0,0,0.111111111111111,0,0,0,0
"52","entE",1,0,0,1,0,0,0,0,0,0,0,0,0
"53","fecA",1,0,0.375,0.5,0,0,0,0,0.125,0,0,0,0
"54","fepA",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"55","galK",1,0,0,0.210526315789474,0.263157894736842,0,0.0526315789473684,0,0.0526315789473684,0.0526315789473684,0.105263157894737,0.263157894736842,0
"56","hybA",1,0,0,0,1,0,0,0,0,0,0,0,0
"57","malM",1,0,1,0,0,0,0,0,0,0,0,0,0
"58","folE",1,0,0,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0
"59","lysP",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","yddB",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","araA",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","mglA",1,0,0.0153846153846154,0.153846153846154,0.292307692307692,0,0.0923076923076923,0.276923076923077,0.0153846153846154,0.0461538461538462,0.0461538461538462,0.0615384615384615,0
"63","mglB",1,0,0.0188679245283019,0.150943396226415,0.283018867924528,0,0.0943396226415094,0.339622641509434,0.0188679245283019,0.0377358490566038,0.0566037735849057,0,0
"64","mglC",1,0,0.0166666666666667,0.166666666666667,0.283333333333333,0,0.0833333333333333,0.266666666666667,0.0166666666666667,0.05,0.05,0.0666666666666667,0
"65","nirB",1,0,0.0869565217391304,0.521739130434782,0.260869565217391,0,0.0869565217391304,0,0,0,0,0.0434782608695652,0
