"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X","coherent","incoherent","homogenous","heterogenous"
"Plastic
genes",96.8333333333333,3.16666666666667,7.39804436175787,14.2787379116141,21.1341240273041,16.8375454402012,8.97625961792966,10.9233602509129,9.88000861561491,7.40525310799861,0,59.6484517408773,37.1848815924561,41.5764021422145,55.2569311911188
"Anticor",97,3,5.73503447656126,20.3490255921845,14.7594828514192,21.0322240614413,5.10765617118457,12.2542447815069,8.39367170463583,9.36866036106647,0,61.8757669816063,35.1242330183937,43.4459610214372,53.5540389785628
"Cor",96.6666666666667,3.33333333333333,9.06105424695448,8.20845023104369,27.508765203189,12.6428668189611,12.8448630646748,9.59247572031887,11.366345526594,5.44184585493075,0,57.4211365001483,39.2455301665184,39.7068432629918,56.9598234036749
"No_sel",74.3333333333333,25.6666666666667,12.2605785710052,11.4849001671778,7.80112568734903,7.96712355775021,7.14837218893474,7.67858423014512,10.2524359865033,9.74021294446794,0,39.5137279832823,34.8196053500511,38.5724351572629,35.7608981760705
"Non-plastic
genes",50.8333333333333,49.1666666666667,0.677538917710304,9.49869526631889,7.08179010089174,4.58667554525337,1.03134017988486,18.6056652043542,4.45214362299475,4.89948449592523,0,21.8446998301743,28.988633503159,29.8132395682682,21.0200937650651
