"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"100","norR",0,1,0,0,0,0,0,0,0,0,0
"101","nsrR",0,1,0,0,0,0,0,0,0,0,0
"102","ohsC",0,1,0,0,0,0,0,0,0,0,0
"103","omrA",0,1,0,0,0,0,0,0,0,0,0
"104","omrB",0,1,0,0,0,0,0,0,0,0,0
"105","oxyS",1,0,0,1,0,0,0,0,0,0,0
"106","paaX",0,1,0,0,0,0,0,0,0,0,0
"107","pgrR",0,1,0,0,0,0,0,0,0,0,0
"108","plaR",1,0,0,0,0,0,0.5,0,0.5,0,0
"109","ptrR",0,1,0,0,0,0,0,0,0,0,0
"110","punR",0,1,0,0,0,0,0,0,0,0,0
"111","puuR",1,0,0,0,0,1,0,0,0,0,0
"112","pyrR",0,1,0,0,0,0,0,0,0,0,0
"113","qseB",1,0,0,0,0,0,0,0,1,0,0
"114","racR",0,1,0,0,0,0,0,0,0,0,0
"115","ralA",0,1,0,0,0,0,0,0,0,0,0
"116","rcdA",0,1,0,0,0,0,0,0,0,0,0
"117","rclR",0,1,0,0,0,0,0,0,0,0,0
"118","rcnR",0,1,0,0,0,0,0,0,0,0,0
"119","rhaR",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"120","rhaS",1,0,0,0.833333333333333,0,0,0,0.166666666666667,0,0,0
"121","rseX",0,1,0,0,0,0,0,0,0,0,0
"122","rspR",0,1,0,0,0,0,0,0,0,0,0
"123","rtcR",0,1,0,0,0,0,0,0,0,0,0
"124","rutR",1,0,0,1,0,0,0,0,0,0,0
"125","rybB",1,0,0,1,0,0,0,0,0,0,0
"126","rydC",0,1,0,0,0,0,0,0,0,0,0
"127","ryhB",1,0,0,0,0,0,0,0,1,0,0
"128","sdhX",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0,0
