"","V1","FBL_number","No_FBL","FBL"
"302","rpmG",0,0,1
"303","yfbU",0,0,1
"304","cspI",0,0,1
"305","uspA",0,0,1
"306","bioH",0,0,1
"307","dhaM",0,0,1
"308","ygcN",0,0,1
"309","ydhQ",0,0,1
"310","dacC",0,0,1
"311","hdfR",0,0,1
"312","sfsA",0,0,1
"313","mrr",0,0,1
"314","yqeF",0,0,1
"315","ugpB",0,0,1
"316","yhjV",0,0,1
"317","ynaE",0,0,1
"318","glgX",0,0,1
"319","panF",0,0,1
"320","sseA",0,0,1
"321","sbmA",0,0,1
"322","srmB",0,0,1
"323","hcaD",0,0,1
"324","yecA",0,0,1
"325","chaC",0,0,1
"326","yfaQ",0,0,1
"327","tus",0,0,1
"328","yaeH",0,0,1
"329","rng",0,0,1
"330","malS",0,0,1
"331","yqjE",0,0,1
"332","yccX",0,0,1
"333","degQ",0,0,1
"334","yieL",0,0,1
"335","ypeB",0,0,1
"336","recB",0,0,1
"337","nrfE",0,0,1
"338","rseC",0,0,1
"339","lpxA",0,0,1
"340","tktB",0,0,1
"341","fkpA",0,0,1
"342","nusB",0,0,1
"343","ydbK",0,0,1
"344","yiiS",0,0,1
"345","yhjG",0,0,1
"346","grxB",0,0,1
"347","yacL",0,0,1
"348","ycjD",0,0,1
"349","poxB",0,0,1
"350","aldB",0,0,1
"351","ybhC",0,0,1
"352","arcA",0,0,1
"353","infC",0,0,1
"354","nadD",0,0,1
"355","mscL",0,0,1
"356","ycaQ",0,0,1
"357","agp",0,0,1
"358","pqiA",0,0,1
"359","fadH",0,0,1
"360","ybeM",0,0,1
"361","fieF",0,0,1
"362","yjeI",0,0,1
"363","yhfY",0,0,1
"364","ybhF",0,0,1
"365","hdhA",0,0,1
"366","yrdD",0,0,1
"367","ycbZ",0,0,1
"368","mutT",0,0,1
"369","yrdB",0,0,1
"370","yjdP",0,0,1
"371","osmE",0,0,1
"372","pinQ",0,0,1
"373","lepA",0,0,1
"374","rof",0,0,1
"375","yqjG",0,0,1
"376","treA",0,0,1
"377","astE",0,0,1
"378","yheT",0,0,1
"379","elaB",0,0,1
"380","ccmG",0,0,1
"381","smf",0,0,1
"382","ackA",0,0,1
"383","ybjP",0,0,1
"384","yhaH",0,0,1
"385","nusA",0,0,1
"386","lepB",0,0,1
"387","ygbI",0,0,1
"388","msyB",0,0,1
"389","hofQ",0,0,1
"390","rplT",0,0,1
"391","rsmC",0,0,1
"392","selD",0,0,1
"393","nlpI",0,0,1
"394","ychA",0,0,1
"395","ytfK",0,0,1
"396","emrB",0,0,1
"397","narI",0,0,1
"398","tatC",0,0,1
"399","otsB",0,0,1
"400","yhbY",0,0,1
"401","ybjS",0,0,1
"402","ybiB",0,0,1
"403","yhhA",0,0,1
"404","mcrC",0,0,1
"405","bioC",0,0,1
"406","rpsL",0,0,1
"407","proS",0,0,1
"408","sapB",0,0,1
"409","yfcL",0,0,1
"410","priA",0,0,1
"411","yecE",0,0,1
"412","yadS",0,0,1
"413","nagA",0,0,1
"414","mukE",0,0,1
"415","yfcQ",0,0,1
"416","cysQ",0,0,1
"417","torT",0,0,1
"418","yfiC",0,0,1
"419","phoQ",0,0,1
"420","holA",0,0,1
"421","elaA",0,0,1
"422","livG",0,0,1
"423","tolR",0,0,1
"424","atoS",0,0,1
"425","fkpB",0,0,1
"426","bolA",0,0,1
"427","pnp",0,0,1
"428","yfgJ",0,0,1
"429","yhcO",0,0,1
"430","prc",0,0,1
"431","dkgA",0,0,1
"432","narL",0,0,1
"433","pepT",0,0,1
"434","trg",0,0,1
"435","fadB",0,0,1
"436","aroC",0,0,1
"437","aroB",0,0,1
"438","holB",0,0,1
"439","nrdB",0,0,1
"440","secF",0,0,1
"441","ydcJ",0,0,1
"442","ydfK",0,0,1
"443","yeaH",0,0,1
"444","ygaM",0,0,1
"445","bioA",0,0,1
"446","melR",0,0,1
"447","yejO",0,0,1
"448","pta",0,0,1
"449","sodC",0,0,1
"450","ecnB",0,0,1
"451","yeaO",0,0,1
"452","fabA",0,0,1
"453","ycgB",0,0,1
"454","blc",0,0,1
"455","fadD",0,0,1
"456","yfcG",0,0,1
"457","recJ",0,0,1
"458","fbaB",0,0,1
"459","ychF",0,0,1
"460","pdxA",0,0,1
