"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"Plastic
genes",25.4612546125461,74.5387453874539,10.0813782312573,15.3798763812888,5.74807040582696,1.28680911772536,6.98546742282408,3.49740005101512,7.94350761515461
"Non-plastic
genes",0.943396226415094,99.0566037735849,0.943396226415094,0,0.188679245283019,0.188679245283019,0.188679245283019,0.377358490566038,0
