"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X","coherent","incoherent","homogenous","heterogenous"
"Plastic
genes",82.5,17.5,9.74972978088936,16.7555425773949,14.2530813276231,12.4423836624759,8.99807663054273,7.45561473367059,7.02918533458375,5.81638595281967,0,53.2007373483833,29.2992626516167,42.9589637224976,39.5410362775024
"Anticor",67.3333333333333,32.6666666666667,1.38888888888889,26.4381433381433,7.14273689273689,12.6098003848004,2.84882154882155,8.68678451178451,4.47421837421837,3.74393939393939,0,47.5795695045695,19.7537638287638,39.3626382876383,27.970695045695
"Cor",97.6666666666667,2.33333333333333,18.1105706728898,7.07294181664648,21.3634257625093,12.2749669401514,15.1473317122639,6.22444495555668,9.58415229494912,7.88883251169995,0,58.821905192197,38.8447614744697,46.5552891573569,51.1113775093097
"No_sel",96.3333333333333,3.66666666666667,12.7539734200659,13.0107163810255,11.4703989505271,11.0987839475713,11.1364225646963,11.8289498996858,12.4270572830285,12.6070308867329,0,48.3338726991899,47.9994606341434,48.7300622654735,47.6032710678598
"Non-plastic
genes",51.8333333333333,48.1666666666667,1.5591630247977,12.1016963085075,6.7046950627059,4.56108817581341,1.6929187198537,14.4490419503384,5.14501158169889,5.61971850961789,0,24.9266425718245,26.9066907615089,29.8028200034972,22.0305133298361
