"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"35","cobU",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","corA",0,1,0,0,0,0,0,0,0,0,0,0,0
"37","creA",1,0,0,0,0,0,0,0,0,0,1,0,0
"38","cybB",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","dicA",0,1,0,0,0,0,0,0,0,0,0,0,0
"40","dsrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"41","dtd",0,1,0,0,0,0,0,0,0,0,0,0,0
"42","flxA",1,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0
"43","ftsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","ftsY",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","hipB",1,0,0,0,0,0,0,0,0,0,1,0,0
"46","hisL",1,0,0,0,0,0,0,0,0,0,1,0,0
"47","intF",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","mobA",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","mobB",0,1,0,0,0,0,0,0,0,0,0,0,0
"50","ogrK",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","panD",0,1,0,0,0,0,0,0,0,0,0,0,0
"52","pdxJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","ssb",1,0,0,0,0,0,0,0,0,0,1,0,0
"54","sulA",1,0,0,0,0,0,0,0,0,0,1,0,0
"55","tfaS",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","umuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","yacC",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","yciN",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","yebG",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","yedJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","yeiS",0,1,0,0,0,0,0,0,0,0,0,0,0
