"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",100,0,8.10761805320711,13.9202760798178,5.28064660234327,7.06377429716268,11.6418820291912,4.04309837318394,14.5816839057219,13.285102366529,13.0108483425926,9.0650699502506,0
"Non-plastic
genes",70.7622298065984,29.2377701934016,4.88785422436719,11.9402058091592,9.67379733392045,2.54670802963949,6.23830378264373,3.47287102473118,6.53971134352513,7.29197935598026,8.32724018339247,9.84355871923925,0
