"","V1","FBL_number","No_FBL","FBL"
"247","yebO",0,0,1
"248","entD",0,0,1
"249","fecR",0,0,1
"250","cysM",0,0,1
"251","fecI",0,0,1
"252","xanP",0,0,1
"253","cysD",0,0,1
"254","metF",0,0,1
"255","purB",0,0,1
"256","ghxP",0,0,1
"257","cysN",0,0,1
"258","cysU",0,0,1
"259","cysJ",0,0,1
"260","astC",0,0,1
"261","astD",0,0,1
"262","sdaA",0,0,1
"263","ugpB",0,0,1
"264","aldB",0,0,1
"265","ccmG",0,0,1
"266","yadS",0,0,1
"267","livG",0,0,1
"268","ecnB",0,0,1
"269","pyrI",0,0,1
"270","flgA",0,0,1
"271","flhB",0,0,1
"272","pspE",0,0,1
"273","yobD",0,0,1
"274","katE",0,0,1
"275","ibpA",0,0,1
"276","trhO",0,0,1
"277","purE",0,0,1
"278","ibpB",0,0,1
"279","fhuA",0,0,1
"280","ybaY",0,0,1
"281","ssuC",0,0,1
"282","ssuA",0,0,1
"283","metB",0,0,1
"284","alaE",0,0,1
"285","dgcT",0,0,1
"286","cysI",0,0,1
"287","cpxP",0,0,1
"288","allB",0,0,1
"289","carB",0,0,1
"290","cysP",0,0,1
"291","hcxA",0,0,1
"292","tsuA",0,0,1
"293","yfeR",0,0,1
"294","artJ",0,0,1
"295","argD",0,0,1
"296","uidA",0,0,1
"297","ompA",0,0,1
"298","ugd",0,0,1
"299","nanA",0,0,1
"300","nagE",0,0,1
"301","fabB",0,0,1
"302","bssS",0,0,1
"303","ubiA",0,0,1
"304","patD",0,0,1
"305","lrhA",4,0,1
"306","yeaY",0,0,1
"307","yibI",0,0,1
"308","garP",0,0,1
"309","tsuB",0,0,1
"310","cysC",0,0,1
"311","cysH",0,0,1
"312","cysA",0,0,1
"313","cysW",0,0,1
"314","tcyN",0,0,1
"315","cynT",0,0,1
"316","cynS",0,0,1
"317","cynX",0,0,1
"318","waaH",0,0,1
"319","psuK",0,0,1
"320","ydeN",0,0,1
"321","psuK",0,0,1
