"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"81","modF",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","coaE",0,1,0,0,0,0,0,0,0,0,0,0,0
"83","inaA",1,0,0.375,0.375,0,0.125,0,0,0.125,0,0,0,0
"84","rpmH",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","cytR",0,1,0,0,0,0,0,0,0,0,0,0,0
"86","potA",0,1,0,0,0,0,0,0,0,0,0,0,0
"87","deaD",0,1,0,0,0,0,0,0,0,0,0,0,0
"88","rplE",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","pyrE",0,1,0,0,0,0,0,0,0,0,0,0,0
"90","sgbE",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0,0
"91","rpsS",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"92","aroL",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"93","lpxT",1,0,0,1,0,0,0,0,0,0,0,0,0
"94","rph",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","rplS",1,0,0,0,1,0,0,0,0,0,0,0,0
"96","speB",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0
"97","cobT",0,1,0,0,0,0,0,0,0,0,0,0,0
"98","stpA",1,0,0,0.5,0.25,0,0.25,0,0,0,0,0,0
"99","copA",0,1,0,0,0,0,0,0,0,0,0,0,0
"100","proQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","dosC",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","thiI",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","guaB",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"104","der",0,1,0,0,0,0,0,0,0,0,0,0,0
"105","tdcG",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"106","rlhA",0,1,0,0,0,0,0,0,0,0,0,0,0
"107","upp",1,0,0,1,0,0,0,0,0,0,0,0,0
"108","cueO",0,1,0,0,0,0,0,0,0,0,0,0,0
"109","rplA",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","rseP",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","rpsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"112","lamB",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"113","rluA",0,1,0,0,0,0,0,0,0,0,0,0,0
"114","rpsO",1,0,0.111111111111111,0.444444444444444,0.111111111111111,0.333333333333333,0,0,0,0,0,0,0
"115","pcnB",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"116","ldrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","hokD",1,0,0,0,1,0,0,0,0,0,0,0,0
"118","rhlE",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","yhbE",1,0,0,1,0,0,0,0,0,0,0,0,0
"120","rplM",1,0,0,0,1,0,0,0,0,0,0,0,0
"121","rplD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"122","rplF",1,0,0,0,1,0,0,0,0,0,0,0,0
"123","yidC",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","mlaD",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","recO",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","wecB",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","rpsD",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","rpsI",1,0,0,0,0.727272727272727,0,0,0.181818181818182,0,0,0,0.0909090909090909,0
"129","secA",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","rpoA",0,1,0,0,0,0,0,0,0,0,0,0,0
"131","dbpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","yihQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"133","rplO",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","pdeR",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"135","rplP",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"136","rimO",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","hsdM",0,1,0,0,0,0,0,0,0,0,0,0,0
"138","gutQ",1,0,0.333333333333333,0.555555555555556,0,0,0,0,0.111111111111111,0,0,0,0
"139","hokB",0,1,0,0,0,0,0,0,0,0,0,0,0
"140","rimM",1,0,0,0,1,0,0,0,0,0,0,0,0
"141","cmoA",0,1,0,0,0,0,0,0,0,0,0,0,0
"142","rplV",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"143","rpmF",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","cmk",0,1,0,0,0,0,0,0,0,0,0,0,0
"145","rplW",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"146","aroE",0,1,0,0,0,0,0,0,0,0,0,0,0
"147","tilS",0,1,0,0,0,0,0,0,0,0,0,0,0
"148","yebO",0,1,0,0,0,0,0,0,0,0,0,0,0
"149","yihL",0,1,0,0,0,0,0,0,0,0,0,0,0
"150","rnpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"151","yebC",0,1,0,0,0,0,0,0,0,0,0,0,0
"152","pyrF",1,0,1,0,0,0,0,0,0,0,0,0,0
"153","rpsK",1,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"154","gsk",0,1,0,0,0,0,0,0,0,0,0,0,0
"155","queA",0,1,0,0,0,0,0,0,0,0,0,0,0
"156","rpmD",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","rplK",0,1,0,0,0,0,0,0,0,0,0,0,0
"158","rpsT",0,1,0,0,0,0,0,0,0,0,0,0,0
"159","entD",1,0,0,1,0,0,0,0,0,0,0,0,0
"160","ydcL",0,1,0,0,0,0,0,0,0,0,0,0,0
"161","rpsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"162","prfB",0,1,0,0,0,0,0,0,0,0,0,0,0
"163","argA",1,0,0,0,1,0,0,0,0,0,0,0,0
"164","rpsF",1,0,0,1,0,0,0,0,0,0,0,0,0
"165","yadC",0,1,0,0,0,0,0,0,0,0,0,0,0
"166","lpxK",0,1,0,0,0,0,0,0,0,0,0,0,0
"167","proX",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0,0
"168","rplQ",1,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"169","folB",0,1,0,0,0,0,0,0,0,0,0,0,0
"170","rpsH",1,0,0,0,1,0,0,0,0,0,0,0,0
"171","fiu",1,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0
"172","fecR",0,1,0,0,0,0,0,0,0,0,0,0,0
"173","yhdZ",1,0,1,0,0,0,0,0,0,0,0,0,0
"174","thiL",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"175","zapE",0,1,0,0,0,0,0,0,0,0,0,0,0
"176","murR",1,0,0,0,0,0,0,0,1,0,0,0,0
"177","rplX",0,1,0,0,0,0,0,0,0,0,0,0,0
"178","rlmL",0,1,0,0,0,0,0,0,0,0,0,0,0
"179","aroM",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"180","yhgF",0,1,0,0,0,0,0,0,0,0,0,0,0
"181","rlmN",0,1,0,0,0,0,0,0,0,0,0,0,0
"182","ilvH",0,1,0,0,0,0,0,0,0,0,0,0,0
"183","trhP",0,1,0,0,0,0,0,0,0,0,0,0,0
"184","rpmC",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"185","yjfC",0,1,0,0,0,0,0,0,0,0,0,0,0
"186","rpsG",0,1,0,0,0,0,0,0,0,0,0,0,0
"187","cusC",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"188","prmA",0,1,0,0,0,0,0,0,0,0,0,0,0
"189","rpsJ",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"190","feoB",1,0,0.2,0.4,0,0,0,0,0.4,0,0,0,0
"191","ldrC",0,1,0,0,0,0,0,0,0,0,0,0,0
"192","ydiY",0,1,0,0,0,0,0,0,0,0,0,0,0
"193","rplB",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"194","rffG",0,1,0,0,0,0,0,0,0,0,0,0,0
"195","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0,0
"196","yjjG",0,1,0,0,0,0,0,0,0,0,0,0,0
"197","yajR",0,1,0,0,0,0,0,0,0,0,0,0,0
"198","infA",0,1,0,0,0,0,0,0,0,0,0,0,0
"199","ycaO",0,1,0,0,0,0,0,0,0,0,0,0,0
"200","purR",1,0,0,0,0.5,0,0,0,0,0,0.5,0,0
"201","ascF",1,0,0,0.428571428571429,0.428571428571429,0,0,0,0,0,0.142857142857143,0,0
"202","wecC",0,1,0,0,0,0,0,0,0,0,0,0,0
"203","pheS",0,1,0,0,0,0,0,0,0,0,0,0,0
"204","hemW",0,1,0,0,0,0,0,0,0,0,0,0,0
"205","potB",0,1,0,0,0,0,0,0,0,0,0,0,0
"206","coaD",0,1,0,0,0,0,0,0,0,0,0,0,0
"207","rplI",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"208","rpsP",1,0,0,0,1,0,0,0,0,0,0,0,0
"209","rutA",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0,0
"210","rpsM",1,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"211","mrcA",0,1,0,0,0,0,0,0,0,0,0,0,0
"212","greA",1,0,0,0,0,0,0,0,1,0,0,0,0
"213","murA",0,1,0,0,0,0,0,0,0,0,0,0,0
"214","eptC",0,1,0,0,0,0,0,0,0,0,0,0,0
"215","recG",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"216","rplC",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"217","parE",0,1,0,0,0,0,0,0,0,0,0,0,0
"218","rplR",0,1,0,0,0,0,0,0,0,0,0,0,0
