"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"108","gatD",1,0,0,0,0,0,0,0,0,0,1
"109","hsdR",0,1,0,0,0,0,0,0,0,0,0
"110","lysC",0,1,0,0,0,0,0,0,0,0,0
"111","metN",1,0,0,0,0,0,0,0,0,0,1
"112","mqo",0,1,0,0,0,0,0,0,0,0,0
"113","rpoE",1,0,0,0,0,0,0,0,0,0,1
"114","rseA",1,0,0,0.0857142857142857,0,0.0285714285714286,0,0,0,0,0.885714285714286
"115","glgS",1,0,0,0,0,0,0,0,0,0,1
"116","glpA",1,0,0,0,0,0,0,0,0,0,1
"117","htpX",1,0,0,0,0,0,0,0,0,0,1
"118","nmpC",0,1,0,0,0,0,0,0,0,0,0
"119","pppA",0,1,0,0,0,0,0,0,0,0,0
"120","purD",1,0,0,0,0,0,0,0,0,0,1
"121","purL",1,0,0,0,0,0,0,0,0,0,1
"122","eptB",1,0,0,0.25,0,0,0,0,0,0,0.75
"123","flgM",1,0,0,0,0,0,0,0,0,0,1
"124","flgN",1,0,0,0,0,0,0,0,0,0,1
"125","hisJ",1,0,0,0,0,0,0,0,0,0,1
"126","groL",1,0,0,0.5,0,0,0,0,0,0,0.5
"127","groS",1,0,0,0.2,0,0,0,0,0,0,0.8
"128","grpE",0,1,0,0,0,0,0,0,0,0,0
"129","hslU",0,1,0,0,0,0,0,0,0,0,0
"130","hslV",0,1,0,0,0,0,0,0,0,0,0
"131","htpG",1,0,0,0,0,0,0,0,0,0,1
"132","ygiM",1,0,0,0,0,0,0,0,1,0,0
"133","osmB",1,0,0,0,0,0,0,0,0,0,1
"134","purC",1,0,0,0,0,0,0,0,0,0,1
"135","purH",1,0,0,0,0,0,0,0,0,0,1
"136","purK",1,0,0,0,0,0,0,0,0,0,1
"137","purM",1,0,0,0,0,0,0,0,0,0,1
"138","pyrB",0,1,0,0,0,0,0,0,0,0,0
"139","pyrC",1,0,0,0,0,0,0,0,0,0,1
"140","ompT",1,0,0,0,0,0,0,0,0,0,1
"141","sucD",1,0,0,0,0,0,0,0,0,0,1
"142","treB",1,0,0,0,0,0,0,0,0,0,1
"143","treC",1,0,0,0,0,0,0,0,0,0,1
"144","ybfA",0,1,0,0,0,0,0,0,0,0,0
"145","yhcN",0,1,0,0,0,0,0,0,0,0,0
"146","ylaC",0,1,0,0,0,0,0,0,0,0,0
"147","yqjA",1,0,0,0.25,0,0,0,0.25,0,0,0.5
"148","spy",1,0,0,0.5,0,0,0,0,0,0,0.5
"149","yebE",1,0,0,0,0,0,0,0,0,0,1
