"","Coherent","Incoherent","No_loop","Loop"
"240",0,0,1,0
"241",0,0,1,0
"242",0,0,1,0
"243",0,0,1,0
"244",0,0,1,0
"245",0,0,1,0
"246",0,0,1,0
"247",0,0,1,0
"248",0,0,1,0
"249",0,0,1,0
"250",0,0,1,0
"251",0,0,1,0
"252",0,0,1,0
"253",0,0,1,0
"254",0,0,1,0
"255",0,0,1,0
"256",0,0,1,0
"257",0,0,1,0
"258",0,0,1,0
"259",0,0,1,0
"260",0,0,1,0
"261",0,0,1,0
"262",0,0,1,0
"263",0,0,1,0
"264",0,0,1,0
"265",0,0,1,0
"266",0,0,1,0
"267",0,0,1,0
"268",0,0,1,0
"269",0,0,1,0
"270",0,0,1,0
"271",0,1,0,1
"272",1,0,0,1
"273",0,0,1,0
"274",0,0,1,0
"275",0,0,1,0
"276",0,0,1,0
"277",0,1,0,1
"278",0,0,1,0
"279",0,0,1,0
"280",0,0,1,0
"281",0,0,1,0
"282",1,0,0,1
"283",0,0,1,0
"284",0,0,1,0
"285",0,0,1,0
"286",0,0,1,0
"287",0,0,1,0
"288",0,0,1,0
"289",0,0,1,0
"290",0,0,1,0
"291",0,0,1,0
"292",0.135135135135135,0.864864864864864,0,1
"293",0,1,0,1
"294",1,0,0,1
"295",0,0,1,0
"296",0,0,1,0
"297",0,0,1,0
"298",0,0,1,0
"299",0.5,0.5,0,1
"300",0,0,1,0
"301",0,0,1,0
"302",0,1,0,1
"303",1,0,0,1
"304",0.282608695652174,0.717391304347826,0,1
"305",0.189189189189189,0.81081081081081,0,1
"306",0.232876712328767,0.767123287671234,0,1
"307",1,0,0,1
"308",0,0,1,0
"309",0,0,1,0
"310",0,0,1,0
"311",0,0,1,0
"312",0,1,0,1
"313",0.236842105263158,0.763157894736842,0,1
"314",0.236842105263158,0.763157894736842,0,1
"315",0,0,1,0
"316",1,0,0,1
"317",0,0,1,0
"318",0,0,1,0
"319",0.253968253968254,0.746031746031745,0,1
"320",0.2,0.8,0,1
"321",1,0,0,1
"322",0,1,0,1
"323",0,1,0,1
"324",0.731707317073171,0.268292682926829,0,1
"325",0.24390243902439,0.75609756097561,0,1
"326",0.487804878048781,0.51219512195122,0,1
"327",0.487804878048781,0.51219512195122,0,1
"328",0.268292682926829,0.731707317073171,0,1
"329",0.268292682926829,0.731707317073171,0,1
"330",0.268292682926829,0.731707317073171,0,1
"331",0.731707317073171,0.268292682926829,0,1
"332",0.731707317073171,0.268292682926829,0,1
"333",0.731707317073171,0.268292682926829,0,1
"334",1,0,0,1
"335",0,1,0,1
"336",1,0,0,1
"337",0,1,0,1
"338",1,0,0,1
"339",0.333333333333333,0.666666666666667,0,1
"340",0.189189189189189,0.81081081081081,0,1
"341",0.206896551724138,0.793103448275862,0,1
"342",0.2,0.8,0,1
"343",0.287671232876712,0.712328767123289,0,1
"344",0.999999999999999,0,0,1
"345",0,1,0,1
"346",0,0,1,0
"347",0.189189189189189,0.81081081081081,0,1
"348",0.232876712328767,0.767123287671234,0,1
"349",1,0,0,1
"350",0.565217391304348,0.434782608695652,0,1
"351",0,0,1,0
"352",0,1,0,1
"353",1,0,0,1
"354",0,0,1,0
"355",0,0,1,0
"356",0.666666666666667,0.333333333333333,0,1
"357",1,0,0,1
"358",0,1,0,1
"359",1,0,0,1
"360",0,0,1,0
"361",0.791666666666666,0.208333333333333,0,1
"362",0,1,0,1
"363",0,1,0,1
"364",0.125,0.875,0,1
"365",0,1,0,1
"366",0.125,0.875,0,1
"367",0.875,0.125,0,1
"368",0.125,0.875,0,1
"369",0,1,0,1
"370",0.386138613861386,0.613861386138614,0,1
"371",1,0,0,1
"372",0,0,1,0
"373",0,0,1,0
"374",0,1,0,1
"375",0,0,1,0
"376",0,0,1,0
"377",0,0,1,0
"378",0,0,1,0
"379",0,0,1,0
"380",0,0,1,0
"381",0,1,0,1
"382",0,0,1,0
"383",0.291666666666667,0.708333333333333,0,1
"384",0,0,1,0
"385",1,0,0,1
"386",0,0,1,0
"387",0,0,1,0
"388",0.999999999999999,0,0,1
"389",0,1,0,1
"390",0,0,1,0
"391",0,0,1,0
"392",0,0,1,0
"393",1,0,0,1
"394",0,0,1,0
"395",0,0,1,0
"396",1,0,0,1
"397",0,0,1,0
"398",1,0,0,1
"399",0,0,1,0
"400",1,0,0,1
"401",0,0,1,0
"402",0.365079365079365,0.634920634920634,0,1
"403",0.26984126984127,0.730158730158729,0,1
"404",0.809523809523808,0.19047619047619,0,1
"405",0,0,1,0
"406",0,0,1,0
"407",0,0,1,0
"408",0.287671232876712,0.712328767123289,0,1
"409",1,0,0,1
"410",0,1,0,1
"411",0,1,0,1
"412",1,0,0,1
"413",1,0,0,1
"414",0,0,1,0
"415",0,0,1,0
"416",0,0,1,0
"417",0,1,0,1
"418",1,0,0,1
"419",0,0,1,0
"420",0,0,1,0
"421",0,0,1,0
"422",1,0,0,1
"423",0,0,1,0
"424",0,0,1,0
"425",0,0,1,0
"426",0.678571428571428,0.321428571428571,0,1
"427",0,0,1,0
"428",1,0,0,1
"429",0,0,1,0
"430",0,0,1,0
"431",0,0,1,0
"432",0,0,1,0
"433",0,0,1,0
"434",0,1,0,1
"435",0,0,1,0
"436",0,0,1,0
"437",0,0,1,0
"438",0,0,1,0
"439",0,0,1,0
"440",0,0,1,0
"441",0,0,1,0
"442",0,0,1,0
"443",0,0,1,0
"444",0,0,1,0
"445",0,0,1,0
"446",1,0,0,1
