"","V1","FBL_number","No_FBL","FBL"
"288","tas",0,0,1
"293","xseA",0,0,1
"294","yagU",0,0,1
"295","ybaK",0,0,1
"297","ybjC",0,0,1
"298","tatD",0,0,1
"299","tgt",0,0,1
"302","treB",0,0,1
"303","treC",0,0,1
"304","ubiB",0,0,1
"306","yajC",0,0,1
"307","ybaL",0,0,1
"308","ybfA",0,0,1
"309","ybjN",0,0,1
"311","ydgD",0,0,1
"312","ydiH",0,0,1
"314","yejG",0,0,1
"315","yfcA",0,0,1
"319","ygbE",0,0,1
"320","yccA",0,0,1
"321","ydhF",0,0,1
"322","ygaH",0,0,1
"323","ygaZ",0,0,1
"324","ygdR",0,0,1
"326","yghJ",0,0,1
"327","ygiB",0,0,1
"328","ygdQ",0,0,1
"329","ygiW",0,0,1
"330","yhcN",0,0,1
"331","yheO",0,0,1
"334","yigI",0,0,1
"338","ylaC",0,0,1
"339","yncD",0,0,1
"341","yraQ",0,0,1
"342","yhaL",0,0,1
"343","yhiI",0,0,1
"344","yjiA",0,0,1
"345","yjiX",0,0,1
"348","yncE",0,0,1
"349","yqjA",0,0,1
"350","yqjC",0,0,1
"351","yqjD",0,0,1
"352","ytfJ",0,0,1
"353","recA",0,0,1
"356","slt",0,0,1
"357","speA",0,0,1
"358","speD",0,0,1
"359","spy",0,0,1
"362","ubiE",0,0,1
"363","uvrY",0,0,1
"366","yciI",0,0,1
"367","yebE",0,0,1
"368","ygiC",0,0,1
"370","yijD",0,0,1
"371","ynfD",0,0,1
"372","yqaE",0,0,1
"373","yqgB",0,0,1
"374","speG",0,0,1
"375","srlA",0,0,1
"376","srlB",0,0,1
"377","srlD",0,0,1
"378","srlE",0,0,1
"379","srlR",1,0,1
"380","tap",0,0,1
"381","tar",0,0,1
"382","tsr",0,0,1
"383","tsx",0,0,1
"384","udp",0,0,1
"387","ybeX",0,0,1
"389","ybeZ",0,0,1
"390","ybiX",0,0,1
"391","ybjX",0,0,1
"393","ycjX",0,0,1
"394","yeaD",0,0,1
"396","yecR",0,0,1
"398","yffB",0,0,1
"399","ygiS",0,0,1
"400","yhhQ",0,0,1
"401","yiaD",0,0,1
"402","ykfB",0,0,1
"403","ymdA",0,0,1
