"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"104","fdhD",0,1,0,0,0,0,0,0,0,0,0
"105","fhuD",1,0,0,0,0,0,0,0,0,1,0
"106","folP",0,1,0,0,0,0,0,0,0,0,0
"107","frdA",1,0,0,0.5,0.125,0.125,0,0,0,0.25,0
"108","frdC",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0,0.142857142857143,0
"109","ftnB",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"110","fucI",1,0,0,0.6,0,0.2,0,0,0,0.2,0
"111","gcvH",1,0,0,0.75,0,0,0,0,0,0.25,0
"112","carA",1,0,0,0.5,0,0,0,0,0,0.5,0
"113","coaA",0,1,0,0,0,0,0,0,0,0,0
"114","codB",1,0,0,0,0,0,0,0,0,1,0
"115","cspD",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"116","cvpA",1,0,0,0,0,0,0,0,0,1,0
"117","cydA",1,0,0,0.5,0,0,0,0,0,0.5,0
"119","cydC",1,0,0,0.375,0,0,0,0.25,0,0.375,0
"120","cydD",1,0,0,0.428571428571429,0,0,0,0.285714285714286,0,0.285714285714286,0
"121","dnaJ",0,1,0,0,0,0,0,0,0,0,0
"122","dnaK",0,1,0,0,0,0,0,0,0,0,0
"124","fdoH",0,1,0,0,0,0,0,0,0,0,0
"125","flgB",1,0,0,1,0,0,0,0,0,0,0
"126","flgC",1,0,0,1,0,0,0,0,0,0,0
"127","flgD",1,0,0,1,0,0,0,0,0,0,0
"128","flgE",1,0,0,1,0,0,0,0,0,0,0
"129","flgF",1,0,0,1,0,0,0,0,0,0,0
"130","flgG",1,0,0,1,0,0,0,0,0,0,0
"131","flgI",1,0,0,1,0,0,0,0,0,0,0
"132","flgJ",1,0,0,1,0,0,0,0,0,0,0
"133","flgK",0,1,0,0,0,0,0,0,0,0,0
"134","flgL",0,1,0,0,0,0,0,0,0,0,0
"135","gatA",1,0,0,0.5,0,0,0,0,0,0.5,0
"136","gatB",1,0,0,0.5,0,0,0,0,0,0.5,0
"137","gatC",1,0,0,0.5,0,0,0,0,0,0.5,0
"138","gatD",1,0,0,0.5,0,0,0,0,0,0.5,0
"139","gatZ",1,0,0,0.5,0,0,0,0,0,0.5,0
"140","glcC",1,0,0,0.2,0.2,0,0,0,0.2,0.4,0
"141","gltA",1,0,0,0.25,0,0.125,0.125,0.25,0,0.25,0
"142","gltB",1,0,0.0357142857142857,0.321428571428571,0.178571428571429,0,0.107142857142857,0.0714285714285714,0.0357142857142857,0.25,0
"143","gltD",1,0,0.0357142857142857,0.321428571428571,0.178571428571429,0,0.107142857142857,0.0714285714285714,0.0357142857142857,0.25,0
"144","gpmA",1,0,0,0.25,0.25,0,0,0,0,0.5,0
"145","grxA",0,1,0,0,0,0,0,0,0,0,0
"146","gshA",0,1,0,0,0,0,0,0,0,0,0
"147","gshB",0,1,0,0,0,0,0,0,0,0,0
"149","hsdR",0,1,0,0,0,0,0,0,0,0,0
"151","hslJ",1,0,0,0,0,0,0,0,0,1,0
"152","iap",0,1,0,0,0,0,0,0,0,0,0
"153","idi",0,1,0,0,0,0,0,0,0,0,0
"154","ispF",0,1,0,0,0,0,0,0,0,0,0
"155","kgtP",1,0,1,0,0,0,0,0,0,0,0
"157","lldD",1,0,0,0,0,0,0,0,0,1,0
"158","lpxD",1,0,0,0,0,0,0,1,0,0,0
"159","lysC",0,1,0,0,0,0,0,0,0,0,0
"160","map",1,0,0,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0,0.142857142857143,0
"161","marB",1,0,0,0.357142857142857,0.142857142857143,0,0.0714285714285714,0.107142857142857,0.0357142857142857,0.285714285714286,0
"162","marR",1,0,0,0.555555555555556,0.166666666666667,0,0,0.166666666666667,0.0555555555555556,0.0555555555555556,0
"165","menF",0,1,0,0,0,0,0,0,0,0,0
"166","metN",1,0,0,0,0,0,0,0,0,1,0
"167","mltC",0,1,0,0,0,0,0,0,0,0,0
"168","mqo",0,1,0,0,0,0,0,0,0,0,0
"172","nuoC",1,0,0.142857142857143,0.142857142857143,0.0714285714285714,0,0.214285714285714,0,0.142857142857143,0.285714285714286,0
"173","nuoN",1,0,0.117647058823529,0.117647058823529,0.0588235294117647,0,0.294117647058824,0,0.117647058823529,0.294117647058824,0
"174","pdhR",1,0,0,0.6,0,0,0,0.2,0.2,0,0
"175","pdxY",0,1,0,0,0,0,0,0,0,0,0
"176","proP",1,0,0,1,0,0,0,0,0,0,0
"177","rbsA",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"178","rbsC",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"179","rcsA",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.166666666666667,0.166666666666667,0
"180","rimI",0,1,0,0,0,0,0,0,0,0,0
"181","rpoE",1,0,0,0.391304347826087,0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0.347826086956522,0
"182","rseA",1,0,0,0.571428571428572,0.0857142857142857,0.0571428571428571,0.0571428571428571,0.0857142857142857,0,0.142857142857143,0
"185","sdhB",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"187","gcvT",1,0,0,0.5,0,0.25,0,0,0,0.25,0
"188","glgS",1,0,0,0,0,0,0,0.5,0,0.5,0
"189","glpA",1,0,0,0.538461538461539,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0
"191","hflK",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"192","hflX",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"193","htpX",1,0,0,0,0,0,1,0,0,0,0
"194","ilvB",1,0,0,0.5,0,0,0,0,0,0.5,0
"196","ilvN",1,0,0,1,0,0,0,0,0,0,0
"197","ivbL",1,0,0,0.5,0,0,0,0,0,0.5,0
"198","katG",1,0,0,0.4,0,0.3,0,0.1,0,0.2,0
"199","maa",0,1,0,0,0,0,0,0,0,0,0
"200","manX",1,0,0,0.3,0,0.1,0.1,0,0.1,0.4,0
"202","miaA",1,0,0,1,0,0,0,0,0,0,0
"203","mutL",1,0,0,1,0,0,0,0,0,0,0
"204","nadA",0,1,0,0,0,0,0,0,0,0,0
"205","nmpC",0,1,0,0,0,0,0,0,0,0,0
"206","nrdD",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"207","nrdG",1,0,0,0.25,0,0.25,0,0,0,0.5,0
"208","rppH",0,1,0,0,0,0,0,0,0,0,0
"210","pitA",0,1,0,0,0,0,0,0,0,0,0
"211","pntA",1,0,0,0.5,0.25,0,0,0,0,0.25,0
"212","ppiA",1,0,0,0.5,0,0,0,0,0,0.5,0
"213","pppA",0,1,0,0,0,0,0,0,0,0,0
"214","proV",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0,0.142857142857143,0
"215","purD",1,0,0,0,0,0,0,0,0,1,0
"216","purL",1,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"217","purN",1,0,0,0,0,0,0,0,0,1,0
"218","putA",1,0,0,0.5,0,0,0,0,0,0.5,0
"219","recR",0,1,0,0,0,0,0,0,0,0,0
"220","rpoH",1,0,0,0.65,0,0,0,0.25,0,0.1,0
"221","rzpD",0,1,0,0,0,0,0,0,0,0,0
"222","sdaB",0,1,0,0,0,0,0,0,0,0,0
"223","sdaC",0,1,0,0,0,0,0,0,0,0,0
"224","secD",0,1,0,0,0,0,0,0,0,0,0
