"","V1","FFL","No_FFL","NonPl_X"
"242","hisH",1,0,0
"243","hisI",1,0,0
"244","hisJ",1,0,0
"245","ispE",0,1,0
"246","malT",1,0,0
"247","fliS",1,0,0
"248","fliT",1,0,0
"249","fliZ",1,0,0
"250","galM",1,0,0
"251","gdhA",1,0,0
"252","yhgH",1,0,0
"253","groL",1,0,0
"254","groS",1,0,0
"255","grpE",1,0,0
"256","hslO",0,1,0
"257","hslU",0,1,0
"258","hslV",0,1,0
"259","htpG",1,0,0
"260","ygiM",1,0,0
"261","osmB",1,0,0
"262","potD",0,1,0
"263","purA",1,0,0
"264","purC",1,0,0
"265","purH",1,0,0
"266","purK",1,0,0
"267","purM",1,0,0
"268","pyrB",0,1,0
"269","pyrC",1,0,0
"270","pyrL",1,0,0
"271","lipB",1,0,0
"272","lon",1,0,0
"273","modB",1,0,0
"274","motA",1,0,0
"275","motB",1,0,0
"276","nhaB",0,1,0
"277","nlpA",1,0,0
"278","nupG",1,0,0
"279","ompT",1,0,0
"280","prlC",0,1,0
"281","rbsB",1,0,0
"282","rbsD",1,0,0
"283","rbsK",1,0,0
"284","ymcE",0,1,0
"285","sthA",1,0,0
"286","sucA",1,0,0
"287","sucD",1,0,0
"288","tas",0,1,0
"289","tehA",0,1,0
"290","thrC",1,0,0
"291","trpB",1,0,0
"292","uspD",1,0,0
"293","xseA",1,0,0
"294","yagU",1,0,0
"295","ybaK",0,1,0
"296","ybfD",0,1,0
"297","ybjC",1,0,0
"298","tatD",0,1,0
"299","tgt",0,1,0
"300","tnaB",1,0,0
"301","tnaC",1,0,0
"302","treB",1,0,0
"303","treC",1,0,0
"304","ubiB",0,1,0
"305","yagE",0,1,0
"306","yajC",0,1,0
"307","ybaL",0,1,0
"308","ybfA",0,1,0
"309","ybjN",1,0,0
"310","ycfP",0,1,0
"311","ydgD",0,1,0
"312","ydiH",0,1,0
"313","yecD",0,1,0
"314","yejG",1,0,0
"315","yfcA",0,1,0
"316","yfcD",0,1,0
"317","yfcE",0,1,0
"318","yfjF",0,1,0
"319","ygbE",0,1,0
"320","yccA",1,0,0
"321","ydhF",0,1,0
"322","ygaH",0,1,0
"323","ygaZ",0,1,0
"324","ygdR",0,1,0
"325","yghG",0,1,0
"326","yghJ",0,1,0
"327","ygiB",1,0,0
