"","FBL","No_FBL","Inhibiting","Activating"
"All_plast",85.4666666666667,14.5333333333333,56.4922222222222,28.9744444444444
"Anticor",86.1333333333333,13.8666666666667,53.9355555555556,32.1977777777778
"Cor",84.8,15.2,59.0488888888889,25.7511111111111
"No_sel",80.6666666666667,19.3333333333333,38.4446031746032,42.2220634920635
"Sel",56,44,36.5065255731922,19.4934744268078
