"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"90","mglC",1,0,0,0,0,0,0,0,0,0,1
"91","glcA",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"92","glcB",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"93","glcC",1,0,0,0,0,0,0,0,0,0.2,0.8
"94","glcD",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"95","glcE",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"96","glcF",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"97","glcG",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"98","hcaR",0,1,0,0,0,0,0,0,0,0,0
"99","iscR",1,0,0,0,0,0,0,0,0,0,1
"100","nrdE",1,0,0,0,0,0,0,0,0,0,1
"101","nrdF",1,0,0,0,0,0,0,0,0,0,1
"102","nrdH",1,0,0,0,0,0,0,0,0,0,1
"103","nrdI",1,0,0,0,0,0,0,0,0,0,1
"104","sufA",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"105","sufB",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"106","sufC",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"107","sufD",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"108","sufE",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"109","sufS",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"110","mhpA",1,0,0,0,0,0,0,0,0,0,1
"111","fdhF",1,0,0,0,0,0,0,0,0,0,1
"112","fdnG",1,0,0,0,0,0,0,0,0,0,1
"113","fdnH",1,0,0,0,0,0,0,0,0,0,1
"114","fdnI",1,0,0,0,0,0,0,0,0,0,1
"115","hcp",1,0,0,0,0,0,0,0.5,0,0,0.5
"116","hcr",1,0,0,0,0,0,0,0,0,0,1
"117","nirB",1,0,0.1,0,0,0,0,0,0,0,0.9
"118","nirD",1,0,0.111111111111111,0,0,0,0,0,0,0,0.888888888888889
"119","nrfA",1,0,0,0,0,0,0,0,0,0,1
"120","nrfB",1,0,0,0,0,0,0,0,0,0,1
"121","nrfC",1,0,0,0,0,0,0,0,0,0,1
"122","nrfD",1,0,0,0,0,0,0,0,0,0,1
"123","ytfE",1,0,0,0,0,0,0,0,0,0,1
"124","amtB",1,0,0,0,0,0,0,0,0,0,1
"125","argT",1,0,0,0,0,0,0,0,0,0,1
"126","ddpA",1,0,0,0,0,0,0,0,0,0,1
"127","ddpB",1,0,0,0,0,0,0,0,0,0,1
"128","ddpD",1,0,0,0,0,0,0,0,0,0,1
"129","ddpX",1,0,0,0,0,0,0,0,0,0,1
"130","glnA",1,0,0,0,0,0,0,0,0,0,1
"131","glnG",1,0,0,0,0,0,0,0,0,0,1
"132","glnK",1,0,0,0,0,0,0,0,0,0,1
"133","glnL",1,0,0,0,0,0,0,0,0,0,1
"134","hisJ",1,0,0,0,0,0,0,0,0,0,1
"135","hisM",1,0,0,0,0,0,0,0,0,0,1
"136","hisP",1,0,0,0,0,0,0,0,0,0,1
"137","patA",1,0,0,0,0,0,0,0,0,0,1
"138","potF",1,0,0,0,0,0,0,0,0,0,1
"139","potG",1,0,0,0,0,0,0,0,0,0,1
"140","potH",1,0,0,0,0,0,0,0,0,0,1
"141","potI",1,0,0,0,0,0,0,0,0,0,1
"142","yhdW",0,1,0,0,0,0,0,0,0,0,0
"143","pdeL",1,0,0,0,0,0,0,0,0,0,1
"144","prpE",1,0,0,0,0,0,0,0,0,0.5,0.5
"145","appA",1,0,0,0,0,0,0,0,0,0,1
"146","appB",1,0,0,0,0,0,0,0,0,0,1
"147","betA",1,0,0,0,0,0,0,0,0.25,0,0.75
"148","betB",1,0,0,0,0,0,0,0,0.25,0,0.75
"149","betI",1,0,0,0,0,0,0,0,0,0,1
"150","cyoC",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"151","cyoD",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"152","cyoE",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"153","putA",1,0,0,0,0,0,0,0,0,0,1
"154","caiD",1,0,0,0,0,0,0,0,0,0,1
"155","rcsA",1,0,0,0,0,0,0,0,0,0,1
"156","lldD",1,0,0,0,0,0,0,0,0,0,1
"157","lldP",1,0,0,0,0,0,0,0,0,0,1
