"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"127","cspI",0,1,0,0,0,0,0,0,0
"128","cusR",0,1,0,0,0,0,0,0,0
"129","cvpA",0,1,0,0,0,0,0,0,0
"130","cycA",0,1,0,0,0,0,0,0,0
"131","cydA",0,1,0,0,0,0,0,0,0
"132","cydC",0,1,0,0,0,0,0,0,0
"133","cydD",0,1,0,0,0,0,0,0,0
"134","cynS",0,1,0,0,0,0,0,0,0
"135","cynT",0,1,0,0,0,0,0,0,0
"136","cynX",0,1,0,0,0,0,0,0,0
"137","cyoA",0,1,0,0,0,0,0,0,0
"138","cyoB",0,1,0,0,0,0,0,0,0
"139","cyoC",0,1,0,0,0,0,0,0,0
"140","cyoD",0,1,0,0,0,0,0,0,0
"141","cyoE",0,1,0,0,0,0,0,0,0
"142","cysA",0,1,0,0,0,0,0,0,0
"143","cysC",0,1,0,0,0,0,0,0,0
"144","cysD",0,1,0,0,0,0,0,0,0
"145","cysH",0,1,0,0,0,0,0,0,0
"146","cysI",0,1,0,0,0,0,0,0,0
"147","cysJ",0,1,0,0,0,0,0,0,0
"148","cysK",0,1,0,0,0,0,0,0,0
"149","cysM",0,1,0,0,0,0,0,0,0
"150","cysN",0,1,0,0,0,0,0,0,0
"151","cysP",0,1,0,0,0,0,0,0,0
"152","cysQ",0,1,0,0,0,0,0,0,0
"153","cysU",0,1,0,0,0,0,0,0,0
"154","cysW",0,1,0,0,0,0,0,0,0
"155","dadA",0,1,0,0,0,0,0,0,0
"156","dadX",0,1,0,0,0,0,0,0,0
"157","dcrB",0,1,0,0,0,0,0,0,0
"158","dcuA",0,1,0,0,0,0,0,0,0
"159","dcuB",0,1,0,0,0,0,0,0,0
"160","dcuC",0,1,0,0,0,0,0,0,0
"161","dcuS",0,1,0,0,0,0,0,0,0
"162","dcyD",0,1,0,0,0,0,0,0,0
"163","ddpA",0,1,0,0,0,0,0,0,0
"164","ddpX",0,1,0,0,0,0,0,0,0
"165","degP",0,1,0,0,0,0,0,0,0
"166","deoB",0,1,0,0,0,0,0,0,0
"167","deoC",0,1,0,0,0,0,0,0,0
"168","deoD",0,1,0,0,0,0,0,0,0
"169","dgcT",0,1,0,0,0,0,0,0,0
"170","dgkA",0,1,0,0,0,0,0,0,0
"171","dhaK",0,1,0,0,0,0,0,0,0
"172","dhaM",0,1,0,0,0,0,0,0,0
"173","dinI",0,1,0,0,0,0,0,0,0
"174","dinJ",0,1,0,0,0,0,0,0,0
"175","dld",0,1,0,0,0,0,0,0,0
"176","dnaA",0,1,0,0,0,0,0,0,0
"177","dnaJ",0,1,0,0,0,0,0,0,0
"178","dnaK",0,1,0,0,0,0,0,0,0
"179","dnaN",0,1,0,0,0,0,0,0,0
"180","dppC",0,1,0,0,0,0,0,0,0
"181","dps",0,1,0,0,0,0,0,0,0
"182","dsbB",0,1,0,0,0,0,0,0,0
"183","dtpA",0,1,0,0,0,0,0,0,0
"184","dtpB",0,1,0,0,0,0,0,0,0
"185","dusB",0,1,0,0,0,0,0,0,0
"186","ecnB",0,1,0,0,0,0,0,0,0
"187","eco",0,1,0,0,0,0,0,0,0
"188","eda",0,1,0,0,0,0,0,0,0
"189","edd",0,1,0,0,0,0,0,0,0
"190","efeB",0,1,0,0,0,0,0,0,0
"191","efeO",0,1,0,0,0,0,0,0,0
"192","elaA",0,1,0,0,0,0,0,0,0
"193","elaB",0,1,0,0,0,0,0,0,0
"194","emrA",0,1,0,0,0,0,0,0,0
"195","eno",0,1,0,0,0,0,0,0,0
"196","entA",0,1,0,0,0,0,0,0,0
"197","entB",0,1,0,0,0,0,0,0,0
"198","entC",0,1,0,0,0,0,0,0,0
"199","entD",0,1,0,0,0,0,0,0,0
"200","entE",0,1,0,0,0,0,0,0,0
"201","entF",0,1,0,0,0,0,0,0,0
"202","entH",0,1,0,0,0,0,0,0,0
"203","entS",0,1,0,0,0,0,0,0,0
"204","epmC",0,1,0,0,0,0,0,0,0
"205","eptB",0,1,0,0,0,0,0,0,0
"206","erpA",0,1,0,0,0,0,0,0,0
"207","evgA",0,1,0,0,0,0,0,0,0
"208","exbB",0,1,0,0,0,0,0,0,0
