"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",90.4903417533432,9.50965824665676,8.21442238506064,12.6978901094757,4.62025524459392,6.60829508824433,11.332265877092,3.91120591792922,13.3036681690713,11.3109731116454,11.2427977040459,7.24856814618484,0
"Non-plastic
genes",51.9287833827893,48.0712166172107,5.59376642624979,9.08230489331852,2.74190625089732,3.87510432305716,5.55401692650943,1.3774904371312,7.43377851363336,5.35695501267215,5.90350022638252,5.00996037293787,0
