"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"72","mdtI",1,0,0,0,1,0,0,0,0,0,0,0
"73","fsr",0,1,0,0,0,0,0,0,0,0,0,0
"74","kbl",0,1,0,0,0,0,0,0,0,0,0,0
"75","kefB",0,1,0,0,0,0,0,0,0,0,0,0
"76","serA",0,1,0,0,0,0,0,0,0,0,0,0
"77","glpQ",1,0,0.375,0.166666666666667,0.0416666666666667,0.0416666666666667,0.166666666666667,0.0416666666666667,0,0.166666666666667,0,0
"78","sucD",1,0,0.103448275862069,0.310344827586207,0.137931034482759,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0.0689655172413793,0,0.0689655172413793
"79","metJ",0,1,0,0,0,0,0,0,0,0,0,0
"80","yceI",1,0,1,0,0,0,0,0,0,0,0,0
"81","nrdH",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"82","sdaC",0,1,0,0,0,0,0,0,0,0,0,0
"83","ycdX",0,1,0,0,0,0,0,0,0,0,0,0
"84","smg",0,1,0,0,0,0,0,0,0,0,0,0
"85","ulaC",1,0,0,0.2,0.2,0,0.4,0.2,0,0,0,0
"86","gcvT",1,0,0.166666666666667,0.333333333333333,0,0,0.333333333333333,0.166666666666667,0,0,0,0
"87","ynfE",1,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0
"88","nrdD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"89","ompW",1,0,0,0.333333333333333,0.583333333333333,0,0,0.0833333333333333,0,0,0,0
"90","sufB",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0
"91","efeO",0,1,0,0,0,0,0,0,0,0,0,0
"92","malP",1,0,1,0,0,0,0,0,0,0,0,0
"93","yqiA",0,1,0,0,0,0,0,0,0,0,0,0
"94","gltI",1,0,0.36,0,0,0.64,0,0,0,0,0,0
"95","cyoD",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"96","dcuC",1,0,1,0,0,0,0,0,0,0,0,0
"97","yfeC",0,1,0,0,0,0,0,0,0,0,0,0
"98","leuD",0,1,0,0,0,0,0,0,0,0,0,0
"99","ycgM",0,1,0,0,0,0,0,0,0,0,0,0
"100","hybG",1,0,0,0,1,0,0,0,0,0,0,0
"101","mdtJ",1,0,0,0,1,0,0,0,0,0,0,0
"102","fes",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"103","entA",1,0,0,1,0,0,0,0,0,0,0,0
"104","entE",1,0,0,1,0,0,0,0,0,0,0,0
"105","yoaB",0,1,0,0,0,0,0,0,0,0,0,0
"106","yjjI",0,1,0,0,0,0,0,0,0,0,0,0
