"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"82","galP",1,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"83","ispA",0,1,0,0,0,0,0,0,0,0,0,0,0
"84","ypeC",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","rplY",0,1,0,0,0,0,0,0,0,0,0,0,0
"86","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0,0
"87","ynfM",0,1,0,0,0,0,0,0,0,0,0,0,0
"88","ydbK",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"89","osmE",1,0,0,0.125,0.125,0,0.1875,0.1875,0.0625,0.1875,0,0.125,0
"90","rof",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","holB",0,1,0,0,0,0,0,0,0,0,0,0,0
"92","ldhA",1,0,1,0,0,0,0,0,0,0,0,0,0
"93","rbfA",1,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0
"94","proW",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0,0
"95","rdgC",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","nrdA",1,0,0.125,0.5,0.125,0.125,0,0,0,0,0.125,0,0
"97","evgA",1,0,0,0.4,0,0,0.2,0,0.2,0.2,0,0,0
"98","dcrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"99","asnB",1,0,0.285714285714286,0.428571428571429,0,0.285714285714286,0,0,0,0,0,0,0
"100","ytfH",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","treF",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","yeaY",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","cbl",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0,0
"104","yceK",0,1,0,0,0,0,0,0,0,0,0,0,0
"105","uspG",0,1,0,0,0,0,0,0,0,0,0,0,0
