"","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X","coherent","incoherent","homogenous_pos","homogenous_neg","heterogenous"
"All_plast",52.5,47.5,5.75224789734979,6.3541416939127,0.810518466645918,5.13400782350564,7.27103733883233,2.69773879442997,9.17836035702257,8.80118130649024,4.13797287141065,2.36279345040019,0,27.3336671598322,25.1663328401678,20.064616077878,5.87105071147607,26.5643332106459
"Anticor",66.6666666666667,33.3333333333333,5.15561883650889,9.38744875767705,1.36795051353875,5.16792227632968,9.90742637389871,3.78614311432939,11.1063135141281,10.4402088625914,6.67813217294891,3.66950224471572,0,32.5959757762471,34.0706908904196,21.4298546269667,8.82359587258386,36.4132161671161
"Cor",38.3333333333333,61.6666666666667,6.34887695819068,3.32083463014836,0.253086419753086,5.10009337068161,4.63464830376595,1.60933447453055,7.250407199917,7.16215375038904,1.59781356987239,1.05608465608466,0,22.0713585434174,16.261974789916,18.6993775287893,2.9185055503683,16.7154502541757
"No_sel",55.3333333333333,44.6666666666667,0.0277777777777778,1.67597276018329,1.66242553742554,3.50703677414204,13.3013137447348,18.5175133346186,1.52313549024075,1.77051277182856,4.34906755038334,8.99857759199864,0,29.8343337461759,25.4989995871575,5.05795004216057,29.1785164640428,21.09686682713
"Sel",16.3333333333333,83.6666666666667,0.744588744588745,1.2050505050505,0,4.27053872053872,2.7226430976431,0.430555555555556,4.03243145743146,1.32777777777778,0.966414141414142,0.633333333333333,0,7.73987493987494,8.59345839345839,9.04755892255892,1.06388888888889,6.22188552188552
