"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"76","flgM",1,0,0.149253731343284,0.0746268656716418,0.0447761194029851,0.328358208955224,0.149253731343284,0,0,0.0746268656716418,0.17910447761194,0,0
"77","flgN",1,0,0.166666666666667,0.0833333333333333,0,0.366666666666667,0.166666666666667,0,0,0.0833333333333333,0.133333333333333,0,0
"78","groL",1,0,1,0,0,0,0,0,0,0,0,0,0
"79","groS",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"80","grpE",1,0,1,0,0,0,0,0,0,0,0,0,0
"81","hslU",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","hslV",0,1,0,0,0,0,0,0,0,0,0,0,0
"83","htpG",1,0,0.333333333333333,0.5,0,0,0,0,0,0,0.166666666666667,0,0
"84","ygiM",1,0,0,1,0,0,0,0,0,0,0,0,0
"85","osmB",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"86","purC",0,1,0,0,0,0,0,0,0,0,0,0,0
"87","purH",1,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0
"88","purK",0,1,0,0,0,0,0,0,0,0,0,0,0
"89","purM",1,0,0,0,0.5,0,0,0.5,0,0,0,0,0
"90","pyrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","pyrC",1,0,0,0,1,0,0,0,0,0,0,0,0
"92","treB",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"93","treC",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"94","ybfA",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","efeB",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","yhcN",0,1,0,0,0,0,0,0,0,0,0,0,0
"97","yqjA",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"98","spy",1,0,1,0,0,0,0,0,0,0,0,0,0
"99","yebE",0,1,0,0,0,0,0,0,0,0,0,0,0
"100","yqaE",1,0,0,1,0,0,0,0,0,0,0,0,0
"101","ybjX",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","ycjX",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","yecR",1,0,0.266666666666667,0,0,0.6,0,0,0.133333333333333,0,0,0,0
"104","ymdA",1,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0
"105","entE",1,0,0,1,0,0,0,0,0,0,0,0,0
"106","fecA",1,0,0.375,0.5,0,0,0,0,0.125,0,0,0,0
"107","fepA",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"108","fucK",1,0,0.25,0.5,0,0,0,0,0,0.25,0,0,0
"109","idnT",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"110","malF",1,0,0.578947368421053,0.315789473684211,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0,0
"111","malG",1,0,0.578947368421053,0.315789473684211,0,0.0526315789473684,0,0,0.0526315789473684,0,0,0,0
"112","malK",1,0,1,0,0,0,0,0,0,0,0,0,0
"113","malP",1,0,1,0,0,0,0,0,0,0,0,0,0
"114","hha",1,0,0,1,0,0,0,0,0,0,0,0,0
"115","metK",1,0,0,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0
"116","ycjF",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","yddB",0,1,0,0,0,0,0,0,0,0,0,0,0
"118","yqfA",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","ssuD",1,0,0.25,0.5,0,0,0,0,0,0.25,0,0,0
"120","csgA",1,0,0.173913043478261,0.347826086956522,0.0434782608695652,0.0869565217391304,0,0,0.173913043478261,0.0869565217391304,0.0869565217391304,0,0
"121","iraP",1,0,0.363636363636364,0.272727272727273,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0,0,0
"122","mcbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"123","yciG",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"124","metE",1,0,0,0.4,0.2,0,0.2,0,0,0,0.2,0,0
"125","metR",1,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"126","prpB",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"127","prpC",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"128","prpD",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"129","mglC",1,0,0.0166666666666667,0.166666666666667,0.283333333333333,0,0.0833333333333333,0.266666666666667,0.0166666666666667,0.05,0.05,0.0666666666666667,0
"130","glcA",1,0,0.142857142857143,0.5,0.0714285714285714,0.214285714285714,0.0714285714285714,0,0,0,0,0,0
"131","glcD",1,0,0.210526315789474,0.473684210526316,0.0526315789473684,0.210526315789474,0.0526315789473684,0,0,0,0,0,0
"132","glcE",1,0,0.142857142857143,0.5,0.0714285714285714,0.214285714285714,0.0714285714285714,0,0,0,0,0,0
"133","yhdW",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","prpE",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"135","entF",1,0,0.142857142857143,0.571428571428571,0.142857142857143,0,0,0,0,0.142857142857143,0,0,0
"136","ybdZ",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"137","leuA",0,1,0,0,0,0,0,0,0,0,0,0,0
