"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X","coherent","incoherent","homogenous_pos","homogenous_neg","heterogenous"
"All_plast",90,10,5.1055961483793,8.57376856419786,2.51683620906367,8.77891104693428,13.4862516595241,7.44924603575031,9.20365868457821,15.4621231040173,11.9107574599975,7.51285108755752,0,51.2234700041423,38.7765299958577,23.0881658798918,17.4789333323715,49.4329007877367
"Anticor",93.6666666666667,6.33333333333333,8.60939173792019,10.4636293224449,1.59407554681544,12.7095266954393,11.0433479239976,2.94046178593791,13.7416280260216,15.5904865659602,12.8707455869856,4.10337347514392,0,54.3146879190587,39.351978747608,35.0605464593811,8.63791080789727,49.9682093993883
"Cor",86.3333333333333,13.6666666666667,1.60180055883841,6.68390780595082,3.43959687131189,4.84829539842926,15.9291553950506,11.9580302855627,4.66568934313481,15.3337596420744,10.9507693330094,10.9223286999711,0,48.132252089226,38.2010812441073,11.1157853004025,26.3199558568457,48.8975921760851
"No_sel",69,31,6.0216430271274,10.5477796306441,4.90806327510659,3.45612000226956,7.15349696163082,3.4006670779095,8.41010288687606,8.42394694648555,8.70984682044869,7.96833337150176,0,34.9202871493473,34.0797128506527,17.887865916273,16.2770637245179,34.8350703592091
"Sel",42.3333333333333,57.6666666666667,3.81172955483749,3.63988611022428,0.348451139427467,6.71211636601149,5.67940977727914,2.3963903979936,9.03675795469633,5.50117396862885,3.67706286949672,1.53035519473795,0,22.4469242963956,19.8864090369377,19.5606038755453,4.27519673215902,18.497532725629
