"","V1","Loop_number","No_loop","Loop"
"243","argI",3,0,1
"244","aroL",2,0,1
"245","upp",2,0,1
"246","lamB",3,0,1
"247","yebO",0,0,1
"248","entD",3,0,1
"249","fecR",1,0,1
"250","cysM",2,0,1
"251","fecI",1,0,1
"252","xanP",0,0,1
"253","cysD",1,0,1
"254","metF",1,0,1
"255","purB",1,0,1
"256","ghxP",0,0,1
"257","cysN",1,0,1
"258","cysU",2,0,1
"259","cysJ",6,0,1
"260","astC",7,0,1
"261","astD",5,0,1
"262","sdaA",2,0,1
"263","ugpB",1,0,1
"264","aldB",2,0,1
"265","ccmG",6,0,1
"266","yadS",1,0,1
"267","livG",1,0,1
"268","ecnB",1,0,1
"269","pyrI",0,0,1
"270","flgA",2,0,1
"271","flhB",2,0,1
"272","pspE",2,0,1
"273","yobD",0,0,1
"274","katE",1,0,1
"275","ibpA",2,0,1
"276","trhO",0,0,1
"277","purE",1,0,1
"278","ibpB",8,0,1
"279","fhuA",1,0,1
"280","ybaY",0,0,1
"281","ssuC",4,0,1
"282","ssuA",4,0,1
"283","metB",1,0,1
"284","alaE",0,0,1
"285","dgcT",2,0,1
"286","cysI",4,0,1
"287","cpxP",3,0,1
"288","allB",0,0,1
"289","carB",6,0,1
"290","cysP",2,0,1
"291","hcxA",0,0,1
"292","tsuA",0,0,1
"293","yfeR",0,0,1
"294","artJ",1,0,1
"295","argD",1,0,1
"296","uidA",1,0,1
"297","ompA",1,0,1
"298","ugd",0,0,1
"299","nanA",3,0,1
"300","nagE",1,0,1
"301","fabB",1,0,1
"302","bssS",5,0,1
"303","ubiA",14,0,1
"304","patD",0,0,1
"305","lrhA",0,0,1
"306","yeaY",0,0,1
"307","yibI",0,0,1
"308","garP",4,0,1
"309","tsuB",0,0,1
"310","cysC",1,0,1
"311","cysH",4,0,1
"312","cysA",2,0,1
"313","cysW",2,0,1
"314","tcyN",0,0,1
"315","cynT",2,0,1
"316","cynS",1,0,1
"317","cynX",1,0,1
"318","waaH",1,0,1
"319","psuK",0,0,1
"320","ydeN",4,0,1
"321","psuK",0,0,1
