"","V1","FFL","No_FFL","NonPl_X"
"92","hypE",1,0,0
"93","csrD",0,1,0
"94","pykA",1,0,0
"95","yaeP",0,1,0
"96","trmA",0,1,0
"97","pepD",1,0,0
"98","yciH",1,0,0
"99","galT",1,0,0
"100","yhdH",0,1,0
"101","ynfH",1,0,0
"102","sodB",1,0,0
"103","sstT",1,0,0
"104","nadB",0,1,0
"105","ybjI",0,1,0
"106","purT",1,0,0
"107","fdoI",0,1,0
"108","exbB",1,0,0
"109","yebZ",0,1,0
"110","pnuC",0,1,0
"111","rutE",1,0,0
"112","yeiE",0,1,0
"113","moeA",1,0,0
"114","melA",1,0,0
"115","ilvE",1,0,0
"116","yddA",0,1,0
"117","cysE",0,1,0
"118","sanA",0,1,0
"119","manY",1,0,0
"120","hisQ",1,0,0
"121","dfp",0,1,0
"122","ydiP",0,1,0
"123","ycjY",0,1,0
"124","tdh",1,0,0
"125","ybjJ",0,1,0
"126","yhfK",0,1,0
"127","yibQ",0,1,0
"128","ccmF",1,0,0
"129","nth",0,1,0
"130","recC",1,0,0
"131","aegA",0,1,0
"132","rpsQ",1,0,0
"133","fepD",1,0,0
"134","yfeD",0,1,0
"135","aqpZ",0,1,0
"136","gltL",1,0,0
"137","cycA",1,0,0
"138","aroF",1,0,0
"139","gcvP",1,0,0
"140","yebY",0,1,0
"141","mutM",1,0,0
"142","mdtC",1,0,0
"143","exbD",1,0,0
"144","ydhW",1,0,0
"145","crl",0,1,0
"146","znuB",1,0,0
"147","torD",1,0,0
"148","gltP",1,0,0
"149","agaV",1,0,0
"150","sucB",1,0,0
"151","yafD",0,1,0
"152","ilvM",1,0,0
"153","cdsA",0,1,0
"154","pyrD",1,0,0
"155","glgC",1,0,0
"156","amn",1,0,0
"157","uhpB",0,1,0
"158","ybhG",1,0,0
"159","pck",1,0,0
"160","rimJ",0,1,0
"161","iscA",1,0,0
"162","chaA",0,1,0
"163","ydhR",0,1,0
"164","pflB",1,0,0
"165","ydgJ",0,1,0
"166","acs",1,0,0
"167","asd",0,1,0
"168","tpx",1,0,0
"169","emrD",1,0,0
"170","yjjP",0,1,0
"171","ydiE",0,1,0
"172","glgA",1,0,0
"173","yqaB",0,1,0
"174","ais",0,1,0
"175","aroD",0,1,0
"176","yiiQ",0,1,0
"177","napH",1,0,0
"178","ccmH",1,0,0
"179","ybiV",0,1,0
"180","efp",0,1,0
"181","hemD",0,1,0
"182","pykF",1,0,0
"183","efeB",0,1,0
"184","uspE",0,1,0
"185","ilvI",1,0,0
"186","glpK",1,0,0
"187","eda",1,0,0
"188","pheP",0,1,0
"189","cysK",1,0,0
"190","napF",1,0,0
"191","ynaJ",0,1,0
"192","torA",1,0,0
"193","nanE",1,0,0
"194","thiD",0,1,0
"195","ydhP",0,1,0
"196","galP",1,0,0
"197","yojI",1,0,0
"198","osmC",1,0,0
"199","cadA",1,0,0
"200","yhbS",0,1,0
"201","msrB",1,0,0
"202","ung",0,1,0
"203","zraR",0,1,0
"204","trmH",1,0,0
"205","ybaN",0,1,0
"206","trpA",1,0,0
"207","brnQ",0,1,0
"208","envC",0,1,0
"209","galE",1,0,0
"210","fumC",1,0,0
"211","bfd",0,1,0
"212","yjjW",0,1,0
"213","crr",1,0,0
"214","xseB",0,1,0
"215","wzzE",0,1,0
"216","moaB",0,1,0
"217","slyB",0,1,0
"218","fhuE",0,1,0
"219","hmp",1,0,0
"220","yfeX",0,1,0
"221","gltK",1,0,0
"222","yedE",0,1,0
"223","putP",1,0,0
"224","speC",1,0,0
"225","menC",0,1,0
"226","moaE",0,1,0
"227","exuT",1,0,0
"228","ybjM",0,1,0
"229","iscU",1,0,0
"230","ilvC",1,0,0
"231","ybiT",0,1,0
"232","phoA",1,0,0
"233","yceH",0,1,0
"234","ulaD",1,0,0
"235","napA",1,0,0
"236","cusR",1,0,0
"237","ispA",0,1,0
"238","pldB",0,1,0
"239","yceB",0,1,0
"240","yjaH",0,1,0
"241","dsbA",1,0,0
"242","kefG",0,1,0
"243","adhE",1,0,0
"244","fepG",1,0,0
"245","nrdR",0,1,0
"246","pqqL",0,1,0
"247","ftsZ",1,0,0
"248","glnH",1,0,0
"249","ypeC",0,1,0
"250","yqhD",0,1,0
"251","glnD",1,0,0
"252","thiM",0,1,0
"253","aroG",1,0,0
