"","FBL","No_FBL","Inhibiting","Activating"
"All_plast",91.3333333333333,8.66666666666667,46.5498985219573,44.783434811376
"Anticor",97.3333333333333,2.66666666666667,43.146093340211,54.1872399931223
"Cor",85.3333333333333,14.6666666666667,49.9537037037037,35.3796296296296
"No_sel",32,68,11.1869047619048,20.8130952380952
"Sel",9.66666666666667,90.3333333333333,5.52777777777778,4.13888888888889
