"","Coherent","Incoherent","No_loop","Loop"
"1",0,0,1,0
"2",1,0,0,1
"3",1,0,0,1
"4",0,1,0,1
"5",0.38,0.62,0,1
"6",0,1,0,1
"7",0.25,0.75,0,1
"8",0,1,0,1
"9",0.758620689655172,0.241379310344828,0,1
"10",0,0,1,0
"11",0.177777777777778,0.822222222222222,0,1
"12",0.644444444444444,0.355555555555555,0,1
"13",1,0,0,1
"14",0,0,1,0
"15",0,1,0,1
"16",0,1,0,1
"17",0.1,0.9,0,1
"18",1,0,0,1
"19",0,0,1,0
"20",1,0,0,1
"21",0,0,1,0
"22",0,0,1,0
"23",0.153846153846154,0.846153846153846,0,1
"24",0.276595744680851,0.723404255319149,0,1
"25",0,0,1,0
"26",1,0,0,1
"27",1,0,0,1
"28",0.533333333333333,0.466666666666667,0,1
"29",1,0,0,1
"30",1,0,0,1
"31",1,0,0,1
"32",1,0,0,1
"33",0.461538461538462,0.538461538461538,0,1
"34",0.473684210526316,0.526315789473684,0,1
"35",0,0,1,0
"36",0,1,0,1
"37",0.731707317073171,0.268292682926829,0,1
"38",0,0,1,0
"39",1,0,0,1
"40",0,0,1,0
"41",0,0,1,0
"42",0,1,0,1
"43",0,0,1,0
"44",0,1,0,1
"45",0,0,1,0
"46",0.547619047619048,0.452380952380953,0,1
"47",0.170212765957447,0.829787234042553,0,1
"48",0,0,1,0
"49",0.677419354838709,0.32258064516129,0,1
"50",0.352941176470588,0.647058823529412,0,1
"51",0.809523809523808,0.19047619047619,0,1
"52",0,0,1,0
"53",0,0,1,0
"54",0.727272727272727,0.272727272727273,0,1
"55",0,1,0,1
"56",0,1,0,1
"57",0.25,0.75,0,1
"58",0.55,0.45,0,1
"59",0,1,0,1
"60",0,1,0,1
"61",0,1,0,1
"62",0,0,1,0
"63",0,1,0,1
"64",0,0,1,0
"65",0,0,1,0
"66",0,0,1,0
"67",0.2,0.8,0,1
"68",0,0,1,0
"69",0.2,0.8,0,1
"70",0,1,0,1
"71",1,0,0,1
"72",0,0,1,0
"73",0,0,1,0
"74",0,0,1,0
"75",0.32258064516129,0.677419354838709,0,1
"76",0.32258064516129,0.677419354838709,0,1
"77",1,0,0,1
"78",0,0,1,0
"79",0,0,1,0
"80",0,0,1,0
"81",0,0,1,0
"82",0,0,1,0
"83",0,0,1,0
"84",0,0,1,0
"85",0,0,1,0
"86",0,0,1,0
"87",0,0,1,0
"88",0,0,1,0
"89",0,0,1,0
"90",1,0,0,1
"91",0,1,0,1
"92",1,0,0,1
"93",0.157894736842105,0.842105263157894,0,1
"94",0,0,1,0
"95",0,0,1,0
"96",0,0,1,0
"97",0,0,1,0
"98",1,0,0,1
"99",0,0,1,0
"100",0,0,1,0
"101",0.266666666666667,0.733333333333333,0,1
"102",0,0,1,0
"103",0,1,0,1
"104",0.533333333333333,0.466666666666667,0,1
"105",0,0,1,0
"106",0.263157894736842,0.736842105263157,0,1
"107",0.157894736842105,0.842105263157894,0,1
"108",1,0,0,1
"109",0,0,1,0
"110",0,0,1,0
"111",1,0,0,1
"112",0,0,1,0
"113",0,0,1,0
"114",1,0,0,1
"115",0,0,1,0
"116",0,0,1,0
