"","V1","FBL_number","No_FBL","FBL"
"243","osmB",0,0,1
"244","potD",0,0,1
"245","purA",0,0,1
"246","purC",0,0,1
"247","purH",0,0,1
"248","purK",0,0,1
"249","purM",0,0,1
"250","pyrB",0,0,1
"251","pyrC",0,0,1
"252","pyrL",0,0,1
"253","srkA",0,0,1
"254","lipB",0,0,1
"255","lon",0,0,1
"256","modB",0,0,1
"257","motA",0,0,1
"258","motB",0,0,1
"259","nhaB",0,0,1
"260","nlpA",0,0,1
"261","nupG",0,0,1
"262","ompT",0,0,1
"263","prlC",0,0,1
"264","rbsB",0,0,1
"265","rbsD",0,0,1
"266","rbsK",0,0,1
"267","ymcE",0,0,1
"268","tusA",0,0,1
"269","yggI",0,0,1
"270","sthA",0,0,1
"271","sucA",0,0,1
"272","sucD",0,0,1
"273","tas",0,0,1
"274","tehA",0,0,1
"275","thrC",0,0,1
"276","trpB",0,0,1
"277","uspD",0,0,1
"278","xseA",0,0,1
"279","sgrR",0,0,1
"280","yagU",0,0,1
"281","ybaK",0,0,1
"282","ybfD",0,0,1
"283","cpoB",0,0,1
"284","hcxB",0,0,1
"285","ybjC",0,0,1
"286","tatD",0,0,1
"287","tgt",0,0,1
"288","tnaB",0,0,1
"289","tnaC",0,0,1
"290","treB",0,0,1
"291","treC",0,0,1
"292","ubiB",0,0,1
"293","yagE",0,0,1
"294","pdeL",0,0,1
"295","yajC",0,0,1
"296","ybaL",0,0,1
"297","ybfA",0,0,1
"298","ybjN",0,0,1
"299","efeB",0,0,1
"300","ycfP",0,0,1
"301","bhsA",0,0,1
"302","ydgD",0,0,1
"303","nemR",0,0,1
"304","ydiH",0,0,1
"305","leuE",0,0,1
"306","yecD",0,0,1
"307","tcyL",0,0,1
"308","yejG",0,0,1
"309","yfcA",0,0,1
"310","yfcD",0,0,1
"311","yfcE",0,0,1
"312","yfjF",0,0,1
"313","ratA",0,0,1
"314","ygbE",0,0,1
"315","yccA",0,0,1
"316","tusE",0,0,1
"317","ldtC",0,0,1
"318","ydhF",0,0,1
"319","raiA",0,0,1
"320","ygaH",0,0,1
"321","ygaZ",0,0,1
"322","ygdR",0,0,1
"323","trmB",0,0,1
"324","yghG",0,0,1
"325","yghJ",0,0,1
"326","ygiB",0,0,1
"327","ygdQ",0,0,1
"328","argO",0,0,1
"329","rsmE",0,0,1
"330","ygiW",0,0,1
"331","yhcN",0,0,1
"332","tusD",0,0,1
"333","yheO",0,0,1
"334","yieE",0,0,1
"335","yieF",0,0,1
"336","yigI",0,0,1
"337","yjeM",0,0,1
"338","tabA",0,0,1
"339","yjjU",0,0,1
"340","ykgA",0,0,1
"341","ylaC",0,0,1
"342","yncD",0,0,1
"343","yodC",0,0,1
"344","rcnB",0,0,1
"345","yraQ",0,0,1
"346","yhaL",0,0,1
"347","yhiI",0,0,1
"348","yjiA",0,0,1
"349","yjiX",0,0,1
"350","btsT",0,0,1
"351","ykfF",0,0,1
"352","pdeB",0,0,1
"353","ylbF",0,0,1
"354","yncE",0,0,1
"355","yqjA",0,0,1
"356","yqjC",0,0,1
"357","yqjD",0,0,1
"358","ytfJ",0,0,1
"359","recA",0,0,1
"360","rnk",0,0,1
"361","serU",0,0,1
"362","slt",0,0,1
"363","speA",0,0,1
"364","speD",0,0,1
"365","spy",0,0,1
"366","tatA",0,0,1
"367","tatB",0,0,1
"368","ubiE",0,0,1
"369","uvrY",0,0,1
"370","yciB",0,0,1
"371","yciC",0,0,1
"372","yciI",0,0,1
"373","yebE",0,0,1
"374","mtfA",0,0,1
"375","btsS",0,0,1
"376","patZ",0,0,1
"377","ygiC",0,0,1
"378","adeP",0,0,1
"379","yihA",0,0,1
"380","yijD",0,0,1
"381","bsmA",0,0,1
"382","rraB",0,0,1
"383","ynfD",0,0,1
"384","yqaE",0,0,1
"385","yqgB",0,0,1
"386","mzrA",0,0,1
"387","speG",0,0,1
"388","srlA",0,0,1
"389","srlB",0,0,1
"390","srlD",0,0,1
"391","srlE",0,0,1
"392","srlR",1,0,1
"393","tap",0,0,1
"394","tar",0,0,1
"395","tsr",0,0,1
"396","tsx",0,0,1
"397","udp",0,0,1
"398","yafE",0,0,1
"399","yafY",0,0,1
"400","cnoX",0,0,1
"401","ybeX",0,0,1
"402","ybeY",0,0,1
"403","ybeZ",0,0,1
"404","pxpA",0,0,1
"405","ybiX",0,0,1
"406","ybjX",0,0,1
"407","ycgR",0,0,1
"408","ycjX",0,0,1
"409","yeaD",0,0,1
"410","yebW",0,0,1
"411","yecR",0,0,1
"412","yeeR",0,0,1
"413","yffB",0,0,1
"414","cas2",0,0,1
"415","ygiS",0,0,1
"416","tusB",0,0,1
"417","yhhQ",0,0,1
"418","pdeH",0,0,1
"419","yiaD",0,0,1
"420","rdcA",0,0,1
"421","ykfB",0,0,1
"422","ymdA",0,0,1
"423","yneE",0,0,1
"424","ynfB",0,0,1
"425","zntR",0,0,1
"426","allA",0,0,1
"427","cdh",0,0,1
"428","dnaA",13,0,1
"429","dnaN",0,0,1
"430","entE",0,0,1
"431","fecA",0,0,1
"432","fecB",0,0,1
"433","fecC",0,0,1
"434","fecD",0,0,1
"435","fecE",0,0,1
"436","fepA",0,0,1
"437","fhuC",0,0,1
"438","frwB",0,0,1
"439","ftsA",0,0,1
"440","ftsQ",0,0,1
"441","fucK",0,0,1
"442","galK",0,0,1
"443","gntT",0,0,1
"444","gpmM",0,0,1
"445","gpsA",0,0,1
"446","hrpB",0,0,1
