"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"84","yhiN",0,1,0,0,0,0,0,0,0,0,0,0
"85","rpsN",0,1,0,0,0,0,0,0,0,0,0,0
"86","rpmB",0,1,0,0,0,0,0,0,0,0,0,0
"87","rplN",0,1,0,0,0,0,0,0,0,0,0,0
"88","mreD",0,1,0,0,0,0,0,0,0,0,0,0
"89","pntA",1,0,1,0,0,0,0,0,0,0,0,0
"90","rbsB",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0,0,0.285714285714286,0
"91","sgbU",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0
"92","tyrS",0,1,0,0,0,0,0,0,0,0,0,0
"93","ybfA",0,1,0,0,0,0,0,0,0,0,0,0
"94","modF",0,1,0,0,0,0,0,0,0,0,0,0
"95","wzzB",0,1,0,0,0,0,0,0,0,0,0,0
"96","coaE",0,1,0,0,0,0,0,0,0,0,0,0
"97","inaA",1,0,0.375,0.375,0,0.125,0,0,0.125,0,0,0
"98","rpmH",0,1,0,0,0,0,0,0,0,0,0,0
"99","cytR",0,1,0,0,0,0,0,0,0,0,0,0
"100","yhjR",0,1,0,0,0,0,0,0,0,0,0,0
"101","maa",0,1,0,0,0,0,0,0,0,0,0,0
"102","potA",0,1,0,0,0,0,0,0,0,0,0,0
"103","deaD",0,1,0,0,0,0,0,0,0,0,0,0
"104","argS",0,1,0,0,0,0,0,0,0,0,0,0
"105","rplE",0,1,0,0,0,0,0,0,0,0,0,0
"106","pyrE",0,1,0,0,0,0,0,0,0,0,0,0
"107","sgbE",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0
"108","rpsS",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"109","aroL",1,0,0,0.5,0.5,0,0,0,0,0,0,0
"110","ptsI",1,0,0.2,0.6,0.2,0,0,0,0,0,0,0
"111","rph",0,1,0,0,0,0,0,0,0,0,0,0
"112","bax",0,1,0,0,0,0,0,0,0,0,0,0
"113","rplS",1,0,0,0,1,0,0,0,0,0,0,0
"114","speB",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0
"115","cobT",0,1,0,0,0,0,0,0,0,0,0,0
"116","tgt",0,1,0,0,0,0,0,0,0,0,0,0
"117","stpA",1,0,0,0.5,0.25,0,0.25,0,0,0,0,0
"118","copA",0,1,0,0,0,0,0,0,0,0,0,0
"119","pitA",1,0,0,1,0,0,0,0,0,0,0,0
"120","proQ",0,1,0,0,0,0,0,0,0,0,0,0
"121","thiI",0,1,0,0,0,0,0,0,0,0,0,0
"122","guaB",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"123","tdcG",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"124","upp",1,0,0,1,0,0,0,0,0,0,0,0
"125","cueO",0,1,0,0,0,0,0,0,0,0,0,0
"126","rplA",0,1,0,0,0,0,0,0,0,0,0,0
"127","gltX",1,0,0,0,0,0,1,0,0,0,0,0
"128","rpsA",0,1,0,0,0,0,0,0,0,0,0,0
"129","lamB",1,0,0.5,0.5,0,0,0,0,0,0,0,0
"130","rluA",0,1,0,0,0,0,0,0,0,0,0,0
"131","rpsO",1,0,0.111111111111111,0.444444444444444,0.111111111111111,0.333333333333333,0,0,0,0,0,0
"132","pcnB",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"133","fabI",0,1,0,0,0,0,0,0,0,0,0,0
"134","ldrA",0,1,0,0,0,0,0,0,0,0,0,0
"135","hokD",1,0,0,0,1,0,0,0,0,0,0,0
