"","V1","FBL_number","No_FBL","FBL"
"242","cpsB",0,0,1
"243","selU",0,0,1
"244","radA",0,0,1
"245","ybfF",0,0,1
"246","rhsC",0,0,1
"247","pinE",0,0,1
"248","rsmB",0,0,1
"249","qorA",0,0,1
"250","icdC",0,0,1
"251","yajQ",0,0,1
"252","sfmD",0,0,1
"253","quuD",0,0,1
"254","gmd",0,0,1
"255","wcaJ",0,0,1
"256","mepS",0,0,1
"257","yqiK",0,0,1
"258","ubiD",0,0,1
"259","lpoB",0,0,1
"260","rlmB",0,0,1
"261","tamA",0,0,1
"262","aslA",0,0,1
"263","yfcU",0,0,1
"264","hokA",0,0,1
"265","insH1",0,0,1
"266","hscC",0,0,1
"267","btuR",0,0,1
"268","eutL",0,0,1
"269","yfgM",0,0,1
"270","kduD",0,0,1
"271","bglA",0,0,1
"272","arpA",0,0,1
"273","insF1",0,0,1
"274","insE1",0,0,1
"275","lptG",0,0,1
"276","ynaI",0,0,1
"277","rimL",0,0,1
"278","ydfT",0,0,1
"279","hldE",0,0,1
"280","mtgA",0,0,1
"281","hemE",0,0,1
"282","ytjC",0,0,1
"283","cydX",0,0,1
"284","insB1",0,0,1
"285","yddE",0,0,1
"286","thpR",0,0,1
"287","insC1",0,0,1
"288","rlpA",0,0,1
"289","ybhA",0,0,1
"290","gsiB",0,0,1
"291","rhsE",0,0,1
"292","yehB",0,0,1
"293","ptsP",0,0,1
"294","yqiG",0,0,1
"295","diaA",0,0,1
"296","glmM",0,0,1
"297","elbB",0,0,1
"298","rhtC",0,0,1
"299","gloB",0,0,1
"300","insC2",0,0,1
"301","mmuM",0,0,1
"302","pncA",0,0,1
"303","insC3",0,0,1
"304","insC4",0,0,1
"305","plsY",0,0,1
"306","yjaA",0,0,1
"307","tamB",0,0,1
"308","insC6",0,0,1
"309","citT",0,0,1
"310","ybaZ",0,0,1
"311","ydeT",0,0,1
"312","torZ",0,0,1
"313","ybgQ",0,0,1
"314","wzxC",0,0,1
"315","pdeN",0,0,1
"316","syd",0,0,1
"317","dtpD",0,0,1
"318","bcsA",0,0,1
"319","ghrB",0,0,1
"320","yidJ",0,0,1
"321","yidA",0,0,1
"322","tldE",0,0,1
"323","yaaA",0,0,1
"324","dedD",0,0,1
"325","ybcF",0,0,1
"326","paoA",0,0,1
"327","kilR",0,0,1
"328","opgD",0,0,1
"329","nudL",0,0,1
"330","cpsG",0,0,1
"331","eutR",0,0,1
"332","marC",0,0,1
"333","yggS",0,0,1
"334","yhaC",0,0,1
"335","lpoA",0,0,1
"336","insJ",0,0,1
"337","yiaY",0,0,1
"338","ahr",0,0,1
"339","acpH",0,0,1
"340","glvG",0,0,1
"341","djlC",0,0,1
"342","ldtA",0,0,1
"343","clsB",0,0,1
"344","mlaA",0,0,1
"345","gfcE",0,0,1
"346","yciO",0,0,1
"347","rnm",0,0,1
"348","pdxI",0,0,1
"349","rsxG",0,0,1
"350","dmlA",0,0,1
"351","setB",0,0,1
"352","yejE",0,0,1
"353","yejF",0,0,1
"354","flk",0,0,1
"355","ypdF",0,0,1
"356","wbbI",0,0,1
"357","yhdE",0,0,1
"358","adeQ",0,0,1
"359","alsK",0,0,1
"360","yehH",0,0,1
"361","cutC",0,0,1
"362","nfrA",0,0,1
"363","glsB",0,0,1
"364","djlB",0,0,1
"365","sapC",0,0,1
"366","valZ",0,0,1
"367","ycfH",0,0,1
"368","nagK",0,0,1
"369","adhP",0,0,1
"370","cspF",0,0,1
"371","rsxD",0,0,1
"372","rsxA",0,0,1
"373","yedK",0,0,1
"374","yedA",0,0,1
"375","yedI",0,0,1
"376","wcaM",0,0,1
"377","asmA",0,0,1
"378","eutK",0,0,1
"379","eutD",0,0,1
"380","eutM",0,0,1
"381","yfiH",0,0,1
"382","nhoA",0,0,1
"383","tldD",0,0,1
"384","setC",0,0,1
"385","yjjB",0,0,1
"386","rmuC",0,0,1
"387","dgcP",0,0,1
"388","insL1",0,0,1
"389","yadK",0,0,1
"390","yagG",0,0,1
"391","yaeI",0,0,1
"392","paoD",0,0,1
"393","ybcJ",0,0,1
"394","wbbH",0,0,1
"395","sfmH",0,0,1
"396","elyC",0,0,1
"397","yacG",0,0,1
"398","ydiN",0,0,1
"399","ydiF",0,0,1
"400","fadK",0,0,1
"401","ydjZ",0,0,1
"402","yfaL",0,0,1
"403","yegT",0,0,1
"404","eutE",0,0,1
"405","fetA",0,0,1
"406","nudK",0,0,1
"407","ygbN",0,0,1
"408","guaD",0,0,1
"409","hsrA",0,0,1
"410","bioP",0,0,1
"411","yihP",0,0,1
"412","yihY",0,0,1
"413","yijE",0,0,1
"414","thiK",0,0,1
"415","yjdN",0,0,1
"416","ydaE",0,0,1
"417","yjhF",0,0,1
"418","rttR",0,0,1
"419","yhdP",0,0,1
"420","ydbA",0,0,1
"421","yjjJ",0,0,1
"422","yafJ",0,0,1
"423","rayT",0,0,1
"424","lafU",0,0,1
"425","paoC",0,0,1
"426","yahJ",0,0,1
"427","mdlA",0,0,1
"428","ybiR",0,0,1
"429","yfaV",0,0,1
"430","rhmD",0,0,1
"431","racC",0,0,1
"432","fdrA",0,0,1
"433","elfD",0,0,1
"434","pdeA",0,0,1
"435","eutN",0,0,1
"436","yfiM",0,0,1
"437","abpB",0,0,1
"438","prfH",0,0,1
"439","yqiJ",0,0,1
"440","prkB",0,0,1
"441","rlmJ",0,0,1
"442","yfaU",0,0,1
"443","htrL",0,0,1
"444","yiaB",0,0,1
"445","yicC",0,0,1
"446","yidK",0,0,1
"447","yidX",0,0,1
"448","yihN",0,0,1
"449","yihR",0,0,1
"450","hrpA",0,0,1
"451","hemX",0,0,1
"452","frwD",0,0,1
"453","yjbI",0,0,1
"454","kptA",0,0,1
"455","ubiJ",0,0,1
"456","insX",0,0,1
"457","ldrB",0,0,1
"458","yeeL",0,0,1
"459","ylbE",0,0,1
"460","cydH",0,0,1
"461","yneO",0,0,1
"462","mokC",0,0,1
"463","eaeH",0,0,1
"464","ybbJ",0,0,1
"465","ybdO",0,0,1
"466","ybhK",0,0,1
"467","ycbF",0,0,1
"468","gfcD",0,0,1
"469","cspH",0,0,1
"470","ymfR",0,0,1
"471","ydgA",0,0,1
"472","ydjE",0,0,1
"473","ydjK",0,0,1
"474","yecM",0,0,1
"475","torY",0,0,1
"476","wcaD",0,0,1
"477","wbbK",0,0,1
"478","wcaK",0,0,1
"479","wcaI",0,0,1
"480","yejK",0,0,1
"481","yfbS",0,0,1
"482","yfdR",0,0,1
"483","yfeW",0,0,1
"484","opgC",0,0,1
"485","sseB",0,0,1
"486","hcaT",0,0,1
"487","ygbM",0,0,1
"488","rlmD",0,0,1
"489","ygeO",0,0,1
"490","actS",0,0,1
"491","yqhA",0,0,1
"492","ubiK",0,0,1
"493","ecpC",0,0,1
"494","yfjT",0,0,1
"495","afuC",0,0,1
"496","yahD",0,0,1
"497","yhhI",0,0,1
"498","bcsQ",0,0,1
"499","yibF",0,0,1
"500","yicL",0,0,1
"501","yidH",0,0,1
"502","yidG",0,0,1
"503","trpT",0,0,1
"504","ompL",0,0,1
"505","yjdF",0,0,1
"506","yjfJ",0,0,1
"507","yjtD",0,0,1
"508","gfcB",0,0,1
"509","rzoD",0,0,1
