"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","idnO",1,0,0,0.5,0,0.5,0,0,0,0,0
"2","idnD",1,0,0,0.5,0,0.5,0,0,0,0,0
"3","idnT",1,0,0,0.5,0,0.5,0,0,0,0,0
"4","idnK",1,0,0,0.6,0,0.2,0,0,0.2,0,0
"5","idnR",1,0,0,0.5,0,0,0,0,0.5,0,0
"6","gntT",1,0,0,0.5,0,0,0,0,0.5,0,0
"7","gntU",1,0,0,0.2,0,0,0.2,0,0.6,0,0
"8","cspG",0,1,0,0,0,0,0,0,0,0,0
"9","gntK",1,0,0,0.2,0,0,0.2,0,0.6,0,0
"10","yjgR",0,1,0,0,0,0,0,0,0,0,0
"11","yjjZ",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"12","flhC",1,0,0.121212121212121,0.151515151515152,0.121212121212121,0,0.272727272727273,0,0.333333333333333,0,0
"13","alr",0,1,0,0,0,0,0,0,0,0,0
"14","glpF",1,0,0,0.25,0.25,0,0,0,0.5,0,0
"15","glpC",1,0,0,0.636363636363636,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0
"16","glpB",1,0,0,0.636363636363636,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0
"17","yddH",0,1,0,0,0,0,0,0,0,0,0
"18","cspA",1,0,0,0.5,0,0,0,0,0.5,0,0
"19","glpT",1,0,0,0.1875,0.0625,0,0.25,0.0625,0.1875,0.25,0
"20","codA",1,0,0,0,0,0,0,0,1,0,0
"21","flhD",1,0,0.121212121212121,0.151515151515152,0.121212121212121,0,0.272727272727273,0,0.333333333333333,0,0
"22","metQ",1,0,0,0,0,0,0,0,1,0,0
"23","mcrB",0,1,0,0,0,0,0,0,0,0,0
"24","fdx",0,1,0,0,0,0,0,0,0,0,0
"25","garR",1,0,0,0.25,0,0.25,0,0,0.5,0,0
"26","metI",1,0,0,0,0,0,0,0,1,0,0
"27","malZ",0,1,0,0,0,0,0,0,0,0,0
"28","ykgM",0,1,0,0,0,0,0,0,0,0,0
"29","kdgK",0,1,0,0,0,0,0,0,0,0,0
"30","zraP",1,0,0,1,0,0,0,0,0,0,0
"31","pspC",1,0,0,0,0,0,0,1,0,0,0
"32","pspD",1,0,0,0,0,0,0,1,0,0,0
"33","pspA",1,0,0,0,0,0,0,1,0,0,0
"34","pspB",1,0,0,0,0,0,0,1,0,0,0
"35","miaA",1,0,0,1,0,0,0,0,0,0,0
"36","yjiN",0,1,0,0,0,0,0,0,0,0,0
"37","yghJ",0,1,0,0,0,0,0,0,0,0,0
"38","mqo",0,1,0,0,0,0,0,0,0,0,0
"39","cirA",1,0,0,0.25,0.25,0.125,0,0,0.375,0,0
"40","zwf",1,0,0,0.307692307692308,0,0.230769230769231,0.0769230769230769,0.153846153846154,0.230769230769231,0,0
"41","dapE",0,1,0,0,0,0,0,0,0,0,0
"42","secE",0,1,0,0,0,0,0,0,0,0,0
"43","cdd",1,0,0,0,0,0,0,0,1,0,0
"44","yebK",0,1,0,0,0,0,0,0,0,0,0
"45","ompX",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"46","fabH",1,0,0,0.25,0,0.5,0,0,0.25,0,0
"47","yifK",0,1,0,0,0,0,0,0,0,0,0
"48","uup",0,1,0,0,0,0,0,0,0,0,0
"49","pyrH",0,1,0,0,0,0,0,0,0,0,0
"50","argI",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"51","speE",0,1,0,0,0,0,0,0,0,0,0
"52","tsx",1,0,0,0,0,0,0,0,1,0,0
"53","rplU",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"54","rplY",1,0,0,0,0,0.5,0,0,0.5,0,0
"55","ldrD",0,1,0,0,0,0,0,0,0,0,0
"56","yegD",0,1,0,0,0,0,0,0,0,0,0
"57","yddJ",0,1,0,0,0,0,0,0,0,0,0
"58","dnaJ",0,1,0,0,0,0,0,0,0,0,0
"59","caiT",1,0,0,0.666666666666667,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0
"60","alaS",0,1,0,0,0,0,0,0,0,0,0
"61","nusG",0,1,0,0,0,0,0,0,0,0,0
