"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"45","phoH",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"46","hybD",1,0,0,0,0,0,0,0,1,0
"47","ynfF",1,0,0,0.4,0.4,0,0,0,0.2,0
"48","tdcB",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0
"49","frdC",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0
"50","tonB",0,1,0,0,0,0,0,0,0,0
"51","frdA",1,0,0,0.5,0.125,0.125,0,0,0.25,0
"52","treB",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"53","hybC",1,0,0,0,0,0,0,0,1,0
"54","hypB",1,0,0,0.6,0,0.2,0,0.2,0,0
"55","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"56","dcuB",1,0,0,0.6,0.1,0.1,0,0.1,0.1,0
"57","sufC",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"58","frdB",1,0,0,0.5,0.125,0.125,0,0,0.25,0
"59","hypC",1,0,0,0.6,0,0.2,0,0.2,0,0
"60","rsxE",0,1,0,0,0,0,0,0,0,0
"61","sufD",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"62","ybdZ",1,0,0,0.5,0,0.25,0,0,0.25,0
"63","leuA",1,0,0,1,0,0,0,0,0,0
"64","clpS",0,1,0,0,0,0,0,0,0,0
"65","icd",1,0,0.166666666666667,0,0,0,0.333333333333333,0,0.5,0
"66","gpmA",1,0,0,0.25,0,0.25,0,0,0.5,0
"67","yfcZ",1,0,0,0,0,0,1,0,0,0
"68","sodA",1,0,0.0909090909090909,0.242424242424242,0,0.181818181818182,0.181818181818182,0.0606060606060606,0.242424242424242,0
"69","fis",1,0,0,0.222222222222222,0,0.444444444444444,0,0.222222222222222,0.111111111111111,0
"70","nrdF",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"71","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0
"72","tdcA",1,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0
"73","aspA",1,0,0,0.625,0.125,0.125,0,0,0.125,0
"74","fdoH",0,1,0,0,0,0,0,0,0,0
"75","frdD",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0
"76","nadA",0,1,0,0,0,0,0,0,0,0
"77","hypD",1,0,0,0.6,0,0.2,0,0.2,0,0
"78","ydhV",1,0,0,0,1,0,0,0,0,0
"79","dmsB",1,0,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.25,0.166666666666667
"80","glpX",1,0,0,0.5,0,0,0,0,0.5,0
"81","entB",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"82","fhuF",1,0,0.25,0,0,0,0.25,0,0.5,0
"83","sufA",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"84","gdhA",1,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0,0.363636363636364,0
"85","dcuA",1,0,0,0.6,0.1,0.1,0,0.1,0.1,0
"86","dadA",0,1,0,0,0,0,0,0,0,0
"87","pgl",0,1,0,0,0,0,0,0,0,0
"88","dmsD",1,0,0,0.5,0.25,0,0,0,0.25,0
"89","ydjA",0,1,0,0,0,0,0,0,0,0
"90","sufS",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"91","fepB",1,0,0,0,0,0,0,0,1,0
"92","yhbW",1,0,0,0.5,0,0,0,0.5,0,0
"93","fucI",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0
"94","mdtI",1,0,0,0,0,0,0,0,1,0
"95","fsr",0,1,0,0,0,0,0,0,0,0
"96","kbl",0,1,0,0,0,0,0,0,0,0
"97","kefB",0,1,0,0,0,0,0,0,0,0
"98","serA",1,0,0,1,0,0,0,0,0,0
"99","glpQ",1,0,0,0.307692307692308,0,0,0.153846153846154,0.0769230769230769,0.153846153846154,0.307692307692308
"100","sucD",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0
"101","metJ",1,0,0,0,0,0,0,0,1,0
"102","yceI",1,0,0,1,0,0,0,0,0,0
"103","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"104","sdaC",0,1,0,0,0,0,0,0,0,0
"105","ycdX",0,1,0,0,0,0,0,0,0,0
"106","smg",0,1,0,0,0,0,0,0,0,0
"107","ulaC",1,0,0,0.25,0,0,0.5,0,0.25,0
"108","gcvT",1,0,0,0.5,0.25,0,0,0,0.25,0
"109","ynfE",1,0,0,0.4,0.4,0,0,0,0.2,0
"110","nrdD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"111","ompW",1,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667
"112","sufB",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"113","efeO",0,1,0,0,0,0,0,0,0,0
"114","malP",1,0,0,1,0,0,0,0,0,0
"115","yqiA",0,1,0,0,0,0,0,0,0,0
"116","gltI",1,0,0,1,0,0,0,0,0,0
"117","cyoD",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"118","dcuC",1,0,0,0,0,0,0,1,0,0
"119","yfeC",0,1,0,0,0,0,0,0,0,0
"120","leuD",1,0,0,1,0,0,0,0,0,0
"121","ycgM",0,1,0,0,0,0,0,0,0,0
"122","hybG",1,0,0,0,0,0,0,0,1,0
"123","mdtJ",1,0,0,0,0,0,0,0,1,0
"124","fes",1,0,0,0.5,0,0.25,0,0,0.25,0
"125","entA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"126","entE",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"127","yoaB",0,1,0,0,0,0,0,0,0,0
