"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"98","yciH",1,0,0,0,0,0,0,0,0,0,1
"99","galT",1,0,0,0,0,0,0,0,0,0,1
"100","yhdH",0,1,0,0,0,0,0,0,0,0,0
"101","ynfH",1,0,0,0,0,0,0,0,0,0,1
"102","sodB",1,0,0,0,0,0,0.428571428571429,0,0,0,0.571428571428571
"103","sstT",1,0,0,0,0,0,0.5,0,0,0,0.5
"104","nadB",0,1,0,0,0,0,0,0,0,0,0
"105","ybjI",0,1,0,0,0,0,0,0,0,0,0
"106","purT",1,0,0,0,0,0,0,0,0,0,1
"107","fdoI",0,1,0,0,0,0,0,0,0,0,0
"108","exbB",1,0,0,0,0,0,0,0,0,0,1
"109","yebZ",0,1,0,0,0,0,0,0,0,0,0
"110","pnuC",0,1,0,0,0,0,0,0,0,0,0
"111","rutE",1,0,0,0,0,0,0,0,0,0,1
"112","yeiE",0,1,0,0,0,0,0,0,0,0,0
"113","moeA",1,0,0,0,0,0,0,0,0,0,1
"114","melA",1,0,0,0,0,0,0,0,0,0,1
"115","ilvE",1,0,0,0,0,0,0,0,0,0,1
"116","yddA",0,1,0,0,0,0,0,0,0,0,0
"117","cysE",0,1,0,0,0,0,0,0,0,0,0
"118","sanA",0,1,0,0,0,0,0,0,0,0,0
"119","manY",1,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.714285714285714
"120","hisQ",1,0,0,0,0,0,0,0,0,0,1
"121","dfp",0,1,0,0,0,0,0,0,0,0,0
"122","ydiP",0,1,0,0,0,0,0,0,0,0,0
"123","ycjY",0,1,0,0,0,0,0,0,0,0,0
"124","tdh",1,0,0,0,0,0,0,0,0,0,1
"125","ybjJ",0,1,0,0,0,0,0,0,0,0,0
"126","yhfK",0,1,0,0,0,0,0,0,0,0,0
"127","yibQ",0,1,0,0,0,0,0,0,0,0,0
"128","ccmF",1,0,0,0,0,0,0,0,0.166666666666667,0,0.833333333333333
"129","nth",0,1,0,0,0,0,0,0,0,0,0
"130","recC",1,0,0,0,0,0,0,0,0,0,1
"131","aegA",0,1,0,0,0,0,0,0,0,0,0
"132","rpsQ",1,0,0,0,0,0,0,0,0,0,1
