"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"169","sdaC",0,1,0,0,0,0,0,0,0
"170","dinI",0,1,0,0,0,0,0,0,0
"171","dinJ",1,0,1,0,1,0,0,0,0
"172","fadL",0,1,0,0,0,0,0,0,0
"173","fliD",0,1,0,0,0,0,0,0,0
"174","fliF",0,1,0,0,0,0,0,0,0
"175","fliG",0,1,0,0,0,0,0,0,0
"176","fliI",0,1,0,0,0,0,0,0,0
"177","fliJ",0,1,0,0,0,0,0,0,0
"178","fliK",0,1,0,0,0,0,0,0,0
"179","fliL",0,1,0,0,0,0,0,0,0
"180","fliM",0,1,0,0,0,0,0,0,0
"181","fliN",0,1,0,0,0,0,0,0,0
"182","fliO",0,1,0,0,0,0,0,0,0
"183","fliS",0,1,0,0,0,0,0,0,0
"184","fliT",0,1,0,0,0,0,0,0,0
"185","galM",0,1,0,0,0,0,0,0,0
"186","groL",0,1,0,0,0,0,0,0,0
"187","groS",0,1,0,0,0,0,0,0,0
"188","hslU",0,1,0,0,0,0,0,0,0
"189","hslV",0,1,0,0,0,0,0,0,0
"190","osmB",0,1,0,0,0,0,0,0,0
"191","potD",0,1,0,0,0,0,0,0,0
"192","pyrL",0,1,0,0,0,0,0,0,0
"193","motA",0,1,0,0,0,0,0,0,0
"194","nlpA",0,1,0,0,0,0,0,0,0
"195","rbsD",0,1,0,0,0,0,0,0,0
"196","sucD",0,1,0,0,0,0,0,0,0
"197","yagU",0,1,0,0,0,0,0,0,0
"198","ybfA",0,1,0,0,0,0,0,0,0
"199","ydgD",0,1,0,0,0,0,0,0,0
"200","yejG",0,1,0,0,0,0,0,0,0
"201","yccA",0,1,0,0,0,0,0,0,0
"202","ygdR",0,1,0,0,0,0,0,0,0
"203","ygdQ",0,1,0,0,0,0,0,0,0
"204","yhcN",0,1,0,0,0,0,0,0,0
"205","yigI",0,1,0,0,0,0,0,0,0
"206","ylaC",0,1,0,0,0,0,0,0,0
"207","yraQ",0,1,0,0,0,0,0,0,0
"208","yhiI",0,1,0,0,0,0,0,0,0
"209","yjiX",0,1,0,0,0,0,0,0,0
"210","yqjC",0,1,0,0,0,0,0,0,0
"211","recA",0,1,0,0,0,0,0,0,0
"212","speA",0,1,0,0,0,0,0,0,0
"213","speD",0,1,0,0,0,0,0,0,0
"214","uvrY",0,1,0,0,0,0,0,0,0
"215","yciI",0,1,0,0,0,0,0,0,0
"216","ygiC",0,1,0,0,0,0,0,0,0
"217","yqgB",0,1,0,0,0,0,0,0,0
"218","tap",0,1,0,0,0,0,0,0,0
"219","tar",0,1,0,0,0,0,0,0,0
"220","tsr",0,1,0,0,0,0,0,0,0
"221","tsx",0,1,0,0,0,0,0,0,0
"222","ybjX",0,1,0,0,0,0,0,0,0
"223","yffB",0,1,0,0,0,0,0,0,0
"224","ykfB",0,1,0,0,0,0,0,0,0
"225","ymdA",0,1,0,0,0,0,0,0,0
"226","zntR",0,1,0,0,0,0,0,0,0
"227","fucK",0,1,0,0,0,0,0,0,0
"228","gpsA",0,1,0,0,0,0,0,0,0
"229","hslR",0,1,0,0,0,0,0,0,0
"230","hupA",1,0,0,1,0,0,0.1,0.1,0.8
"231","phoB",1,0,0.333333333333333,0.666666666666667,0,0,0,0.230769230769231,0.76923076923077
"232","aceE",0,1,0,0,0,0,0,0,0
"233","cyoA",0,1,0,0,0,0,0,0,0
"234","cyoC",0,1,0,0,0,0,0,0,0
"235","cyoD",0,1,0,0,0,0,0,0,0
"236","dsbB",0,1,0,0,0,0,0,0,0
"237","gnd",0,1,0,0,0,0,0,0,0
"238","gpt",0,1,0,0,0,0,0,0,0
"239","guaA",0,1,0,0,0,0,0,0,0
"240","hha",0,1,0,0,0,0,0,0,0
"241","metK",0,1,0,0,0,0,0,0,0
"242","ndk",0,1,0,0,0,0,0,0,0
"243","nuoG",0,1,0,0,0,0,0,0,0
"244","nuoH",0,1,0,0,0,0,0,0,0
"245","nuoI",0,1,0,0,0,0,0,0,0
"246","nuoJ",0,1,0,0,0,0,0,0,0
"247","nuoK",0,1,0,0,0,0,0,0,0
"248","nuoL",0,1,0,0,0,0,0,0,0
"249","oppB",0,1,0,0,0,0,0,0,0
"250","oppC",0,1,0,0,0,0,0,0,0
"251","pmrD",0,1,0,0,0,0,0,0,0
"252","pstS",0,1,0,0,0,0,0,0,0
"253","rne",0,1,0,0,0,0,0,0,0
"254","pheM",0,1,0,0,0,0,0,0,0
"255","ptsG",0,1,0,0,0,0,0,0,0
"256","ptsH",0,1,0,0,0,0,0,0,0
"257","purU",0,1,0,0,0,0,0,0,0
"258","pyrG",0,1,0,0,0,0,0,0,0
"259","rmf",0,1,0,0,0,0,0,0,0
"260","rnb",0,1,0,0,0,0,0,0,0
"261","rsd",0,1,0,0,0,0,0,0,0
"262","surA",0,1,0,0,0,0,0,0,0
"263","yicG",0,1,0,0,0,0,0,0,0
"264","yjaB",0,1,0,0,0,0,0,0,0
"265","yaiA",0,1,0,0,0,0,0,0,0
"266","ybhB",0,1,0,0,0,0,0,0,0
"267","yeaC",0,1,0,0,0,0,0,0,0
"268","yeeN",0,1,0,0,0,0,0,0,0
"269","yjhD",0,1,0,0,0,0,0,0,0
"270","yehS",0,1,0,0,0,0,0,0,0
"271","yhjR",0,1,0,0,0,0,0,0,0
"272","yjbQ",0,1,0,0,0,0,0,0,0
"273","rpoS",1,0,0,0.999999999999991,0.00228571428571429,0.0102857142857143,0.0537142857142857,0.224,0.709714285714285
"274","iscR",0,1,0,0,0,0,0,0,0
"275","nrdH",0,1,0,0,0,0,0,0,0
