"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"88","sodB",1,0,0,0,0,0,0.428571428571429,0,0.571428571428571,0,0
"89","iscA",1,0,0,0,0,0,0,0,1,0,0
"90","chaA",0,1,0,0,0,0,0,0,0,0,0
"91","uspE",0,1,0,0,0,0,0,0,0,0,0
"92","cysK",1,0,0,1,0,0,0,0,0,0,0
"93","osmC",1,0,0,0.571428571428571,0,0.285714285714286,0,0,0.142857142857143,0,0
"94","iscU",1,0,0,0,0,0,0,0,1,0,0
"95","phoA",1,0,0,1,0,0,0,0,0,0,0
"96","yqhD",0,1,0,0,0,0,0,0,0,0,0
"97","pspA",1,0,0,0,0,0,0,1,0,0,0
"98","inaA",1,0,0,0.666666666666667,0,0,0,0.222222222222222,0.111111111111111,0,0
"99","soxS",1,0,0,0.2,0,0.3,0.1,0,0.4,0,0
"100","cysM",1,0,0,0.5,0,0,0,0,0.5,0,0
"101","lysA",1,0,0,0.5,0,0,0,0.5,0,0,0
"102","frmR",0,1,0,0,0,0,0,0,0,0,0
"103","cysD",1,0,0,1,0,0,0,0,0,0,0
"104","cysN",1,0,0,1,0,0,0,0,0,0,0
"105","cysJ",1,0,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0.333333333333333,0,0,0
"106","uspA",1,0,0,0.25,0,0,0,0.5,0.25,0,0
"107","osmE",1,0,0.222222222222222,0.111111111111111,0,0,0.222222222222222,0,0.444444444444444,0,0
"108","otsB",0,1,0,0,0,0,0,0,0,0,0
"109","sodC",0,1,0,0,0,0,0,0,0,0,0
"110","yfcG",0,1,0,0,0,0,0,0,0,0,0
"111","otsA",0,1,0,0,0,0,0,0,0,0,0
"112","hscB",0,1,0,0,0,0,0,0,0,0,0
"113","katE",1,0,0,0,0,0,0,1,0,0,0
"114","degP",1,0,0,0,0,0,0,1,0,0,0
"115","cysI",1,0,0,0.5,0,0,0,0.5,0,0,0
"116","cpxP",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"117","cysP",1,0,0,0.5,0,0,0,0,0.5,0,0
"118","frmB",0,1,0,0,0,0,0,0,0,0,0
"119","soxR",1,0,0,0,0,0,0.25,0,0.75,0,0
"120","sbp",0,1,0,0,0,0,0,0,0,0,0
"121","iscS",1,0,0,0,0,0,0,0,1,0,0
"122","yciW",1,0,0,1,0,0,0,0,0,0,0
"123","clpP",1,0,0,1,0,0,0,0,0,0,0
"124","phoR",1,0,0,0.5,0,0.5,0,0,0,0,0
"125","yhhW",0,1,0,0,0,0,0,0,0,0,0
