"","V1","FBL","No_FBL","Inhibiting","Activating"
"526","pepP",0,1,0,0
"527","pmrD",0,1,0,0
"528","psiF",0,1,0,0
"529","pstA",0,1,0,0
"530","pstB",0,1,0,0
"531","pstC",0,1,0,0
"532","pstS",0,1,0,0
"533","rne",0,1,0,0
"534","tdcB",0,1,0,0
"535","tdcC",0,1,0,0
"536","trkA",0,1,0,0
"537","ulaE",0,1,0,0
"538","ulaR",0,1,0,0
"539","pflA",0,1,0,0
"540","pgi",0,1,0,0
"541","pheM",0,1,0,0
"542","pncB",0,1,0,0
"543","ppsA",0,1,0,0
"544","ppx",0,1,0,0
"545","proC",0,1,0,0
"546","ptsG",0,1,0,0
"547","ptsH",0,1,0,0
"548","ptsI",0,1,0,0
"549","purU",0,1,0,0
"550","pyrG",0,1,0,0
"551","rcsB",1,0,0,1
"552","relA",0,1,0,0
"553","rfbC",0,1,0,0
"554","rfbD",0,1,0,0
"555","rfe",0,1,0,0
"556","rhlB",0,1,0,0
"557","uxaC",0,1,0,0
"558","yagF",0,1,0,0
"559","ybaV",0,1,0,0
"560","ybjG",0,1,0,0
"561","ycdZ",0,1,0,0
"562","ycjF",0,1,0,0
"563","ycjO",0,1,0,0
"564","yddB",0,1,0,0
"565","yghD",0,1,0,0
"566","rho",0,1,0,0
"567","ribA",0,1,0,0
"568","rmf",0,1,0,0
"569","rnb",0,1,0,0
"570","rnt",0,1,0,0
"571","rsd",0,1,0,0
"572","rsuA",0,1,0,0
"573","sdhC",0,1,0,0
"574","sdhD",0,1,0,0
"575","serC",0,1,0,0
"576","sfsB",0,1,0,0
"577","sppA",0,1,0,0
"578","sra",0,1,0,0
"579","surA",0,1,0,0
"580","tatE",0,1,0,0
"581","tehB",0,1,0,0
"582","tolB",0,1,0,0
"583","tolQ",0,1,0,0
"584","tpiA",0,1,0,0
"585","yhdT",0,1,0,0
"586","yhfS",0,1,0,0
"587","yhfU",0,1,0,0
"588","yhgE",0,1,0,0
"589","yicG",0,1,0,0
"590","yihF",0,1,0,0
"591","yjaB",0,1,0,0
"592","yjeJ",0,1,0,0
"593","yjfL",0,1,0,0
"594","yjgM",0,1,0,0
"595","ubiH",0,1,0,0
"596","xerC",0,1,0,0
"597","yadG",0,1,0,0
"598","yadH",0,1,0,0
"599","yaiA",0,1,0,0
"600","ybgC",0,1,0,0
"601","ybhB",0,1,0,0
"602","ycaR",0,1,0,0
"603","ycdX",0,1,0,0
"604","ycdY",0,1,0,0
"605","ychH",0,1,0,0
"606","ychJ",0,1,0,0
"607","ydfG",0,1,0,0
"608","yeaC",0,1,0,0
"609","yeaK",0,1,0,0
"610","yeeN",0,1,0,0
"611","yjhD",0,1,0,0
"612","ykgF",0,1,0,0
"613","ymdB",0,1,0,0
"614","yoaE",0,1,0,0
"615","yohK",0,1,0,0
"616","yqfA",0,1,0,0
"617","yrfG",0,1,0,0
"618","yeeZ",0,1,0,0
"619","yehS",0,1,0,0
"620","yeiG",0,1,0,0
"621","yfaE",0,1,0,0
"622","yfcZ",0,1,0,0
"623","yfdG",0,1,0,0
"624","yfdI",0,1,0,0
"625","yfjW",0,1,0,0
"626","ygdI",0,1,0,0
"627","yhjR",0,1,0,0
"628","yieP",0,1,0,0
"629","yjbQ",0,1,0,0
"630","aidB",0,1,0,0
