"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"101","fucR",1,0,0,1,0,0,0,0,0,0
"102","sufA",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"103","sufS",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"104","amn",1,0,0,0,0,1,0,0,0,0
"105","glgC",1,0,0,0.333333333333333,0,0,0,0.166666666666667,0.5,0
"106","yebY",0,1,0,0,0,0,0,0,0,0
"107","yafD",0,1,0,0,0,0,0,0,0,0
"108","nadA",0,1,0,0,0,0,0,0,0,0
"109","clpA",0,1,0,0,0,0,0,0,0,0
"110","ydhR",0,1,0,0,0,0,0,0,0,0
"111","ccmF",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0
"112","ynaJ",0,1,0,0,0,0,0,0,0,0
"113","aroF",1,0,0,0.5,0,0,0,0,0.5,0
"114","yjaH",0,1,0,0,0,0,0,0,0,0
"115","sufC",1,0,0,0.375,0,0.125,0,0.25,0.25,0
"116","uspE",0,1,0,0,0,0,0,0,0,0
"117","efeU",0,1,0,0,0,0,0,0,0,0
"118","clpS",0,1,0,0,0,0,0,0,0,0
"119","chaA",0,1,0,0,0,0,0,0,0,0
"120","ogt",0,1,0,0,0,0,0,0,0,0
