"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","fumB",1,0,0,0.533333333333333,0.0666666666666667,0.133333333333333,0,0.133333333333333,0.133333333333333,0,0
"2","hybE",1,0,0,0,0,0,0,0,1,0,0
"3","hybB",1,0,0,0,0,0,0,0,1,0,0
"4","dmsA",1,0,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.25,0.166666666666667,0
"5","hybF",1,0,0,0,0,0,0,0,1,0,0
"6","hybO",1,0,0,0,0,0,0,0,1,0,0
"7","yncE",1,0,0,1,0,0,0,0,0,0,0
"8","tdcE",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"9","treC",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"10","clpA",0,1,0,0,0,0,0,0,0,0,0
"11","entF",1,0,0,0.5,0,0.25,0,0,0.25,0,0
"12","tdcD",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"13","lysU",1,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"14","ynfG",1,0,0,0.4,0.2,0,0,0.2,0.2,0,0
"15","pepE",0,1,0,0,0,0,0,0,0,0,0
"16","tdcC",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"17","ansB",1,0,0,0.4,0.2,0.2,0,0,0.2,0,0
"18","hybA",1,0,0,0,0,0,0,0,1,0,0
"19","ydcZ",0,1,0,0,0,0,0,0,0,0,0
"20","hypA",1,0,0,0.428571428571429,0,0.285714285714286,0,0.285714285714286,0,0,0
"21","tdcF",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"22","phoH",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"23","hybD",1,0,0,0,0,0,0,0,1,0,0
"24","ynfF",1,0,0,0.4,0.4,0,0,0,0.2,0,0
"25","tdcB",1,0,0,0.777777777777778,0,0,0,0.222222222222222,0,0,0
"26","frdC",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0
"27","tonB",0,1,0,0,0,0,0,0,0,0,0
"28","frdA",1,0,0,0.5,0.125,0.125,0,0,0.25,0,0
"29","treB",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"30","hybC",1,0,0,0,0,0,0,0,1,0,0
"31","hypB",1,0,0,0.6,0,0.2,0,0.2,0,0,0
"32","dcuB",1,0,0,0.6,0.1,0.1,0,0.1,0.1,0,0
"33","frdB",1,0,0,0.5,0.125,0.125,0,0,0.25,0,0
"34","hypC",1,0,0,0.6,0,0.2,0,0.2,0,0,0
"35","rsxE",0,1,0,0,0,0,0,0,0,0,0
"36","ybdZ",1,0,0,0.5,0,0.25,0,0,0.25,0,0
"37","leuA",1,0,0,1,0,0,0,0,0,0,0
"38","clpS",0,1,0,0,0,0,0,0,0,0,0
"39","icd",1,0,0.166666666666667,0,0,0,0.333333333333333,0,0.5,0,0
"40","gpmA",1,0,0,0.25,0,0.25,0,0,0.5,0,0
"41","yfcZ",1,0,0,0,0,0,1,0,0,0,0
"42","sodA",1,0,0.0909090909090909,0.242424242424242,0,0.181818181818182,0.181818181818182,0.0606060606060606,0.242424242424242,0,0
"43","fis",1,0,0,0.222222222222222,0,0.444444444444444,0,0.222222222222222,0.111111111111111,0,0
"44","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0,0
"45","tdcA",1,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0,0
"46","aspA",1,0,0,0.625,0.125,0.125,0,0,0.125,0,0
"47","fdoH",0,1,0,0,0,0,0,0,0,0,0
"48","frdD",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0
"49","nadA",0,1,0,0,0,0,0,0,0,0,0
"50","hypD",1,0,0,0.6,0,0.2,0,0.2,0,0,0
"51","ydhV",1,0,0,0,1,0,0,0,0,0,0
"52","dmsB",1,0,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.25,0.166666666666667,0
"53","glpX",1,0,0,0.5,0,0,0,0,0.5,0,0
"54","entB",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"55","fhuF",1,0,0.25,0,0,0,0.25,0,0.5,0,0
"56","gdhA",1,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0,0.363636363636364,0,0
"57","dcuA",1,0,0,0.6,0.1,0.1,0,0.1,0.1,0,0
"58","dadA",0,1,0,0,0,0,0,0,0,0,0
"59","pgl",0,1,0,0,0,0,0,0,0,0,0
"60","dmsD",1,0,0,0.5,0.25,0,0,0,0.25,0,0
"61","ydjA",0,1,0,0,0,0,0,0,0,0,0
"62","fepB",1,0,0,0,0,0,0,0,1,0,0
"63","yhbW",1,0,0,0.5,0,0,0,0.5,0,0,0
"64","fucI",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0,0
"65","mdtI",1,0,0,0,0,0,0,0,1,0,0
"66","fsr",0,1,0,0,0,0,0,0,0,0,0
"67","kbl",0,1,0,0,0,0,0,0,0,0,0
"68","kefB",0,1,0,0,0,0,0,0,0,0,0
"69","serA",1,0,0,1,0,0,0,0,0,0,0
"70","glpQ",1,0,0,0.307692307692308,0,0,0.153846153846154,0.0769230769230769,0.153846153846154,0.307692307692308,0
