"","V1","Loop_number","No_loop","Loop"
"283","srkA",0,0,1
"284","lipB",1,0,1
"286","modB",1,0,1
"287","motA",1,0,1
"290","nlpA",1,0,1
"291","nupG",0,0,1
"292","ompT",2,0,1
"294","rbsB",7,0,1
"295","rbsD",4,0,1
"296","rbsK",7,0,1
"297","ymcE",0,0,1
"301","sucA",32,0,1
"302","sucD",29,0,1
"303","tas",0,0,1
"307","uspD",2,0,1
"308","xseA",3,0,1
"310","yagU",0,0,1
"311","ybaK",0,0,1
"313","cpoB",0,0,1
"314","hcxB",0,0,1
"315","ybjC",6,0,1
"316","tatD",0,0,1
"317","tgt",0,0,1
"320","treB",3,0,1
"321","treC",3,0,1
"322","ubiB",0,0,1
"324","pdeL",1,0,1
"325","yajC",0,0,1
"326","ybaL",0,0,1
"327","ybfA",0,0,1
"328","ybjN",10,0,1
"329","efeB",0,0,1
"331","bhsA",3,0,1
"332","ydgD",0,0,1
"333","nemR",1,0,1
"334","ydiH",0,0,1
"335","leuE",0,0,1
"337","tcyL",0,0,1
"338","yejG",0,0,1
"339","yfcA",0,0,1
"344","ygbE",0,0,1
"345","yccA",0,0,1
"347","ldtC",1,0,1
"348","ydhF",0,0,1
"349","raiA",2,0,1
"350","ygaH",0,0,1
"351","ygaZ",0,0,1
"352","ygdR",0,0,1
"353","trmB",0,0,1
"355","yghJ",0,0,1
"356","ygiB",7,0,1
"357","ygdQ",0,0,1
"358","argO",1,0,1
"359","rsmE",0,0,1
"360","ygiW",0,0,1
"361","yhcN",0,0,1
"362","tusD",0,0,1
"363","yheO",0,0,1
"366","yigI",0,0,1
"368","tabA",0,0,1
"371","ylaC",0,0,1
"372","yncD",0,0,1
"374","rcnB",1,0,1
"375","yraQ",0,0,1
"376","yhaL",0,0,1
"377","yhiI",0,0,1
"378","yjiA",0,0,1
"379","yjiX",0,0,1
"380","btsT",3,0,1
"384","yncE",3,0,1
"385","yqjA",3,0,1
"386","yqjC",0,0,1
"387","yqjD",0,0,1
"388","ytfJ",4,0,1
"389","recA",0,0,1
"392","slt",2,0,1
"393","speA",0,0,1
"394","speD",0,0,1
"395","spy",1,0,1
"398","ubiE",0,0,1
"399","uvrY",2,0,1
"402","yciI",0,0,1
"403","yebE",0,0,1
"404","mtfA",0,0,1
"405","btsS",0,0,1
"406","patZ",0,0,1
"407","ygiC",7,0,1
"408","adeP",0,0,1
"410","yijD",0,0,1
"411","bsmA",0,0,1
"412","rraB",0,0,1
"413","ynfD",0,0,1
"414","yqaE",2,0,1
"415","yqgB",0,0,1
"417","speG",3,0,1
"418","srlA",16,0,1
"419","srlB",9,0,1
"420","srlD",9,0,1
"421","srlE",9,0,1
"422","srlR",4,0,1
"423","tap",3,0,1
"424","tar",3,0,1
"425","tsr",1,0,1
"426","tsx",4,0,1
"427","udp",1,0,1
"431","ybeX",1,0,1
"433","ybeZ",0,0,1
"435","ybiX",0,0,1
"436","ybjX",0,0,1
"438","ycjX",0,0,1
"439","yeaD",0,0,1
"441","yecR",30,0,1
"443","yffB",0,0,1
"445","ygiS",0,0,1
"446","tusB",0,0,1
"447","yhhQ",0,0,1
"449","yiaD",0,0,1
"450","rdcA",3,0,1
"451","ykfB",0,0,1
"452","ymdA",24,0,1
"453","yneE",0,0,1
"454","ynfB",5,0,1
"455","zntR",1,0,1
"458","dnaA",3,0,1
"459","dnaN",4,0,1
"460","entE",1,0,1
"461","fecA",8,0,1
"462","fecB",8,0,1
"463","fecC",8,0,1
"464","fecD",8,0,1
"465","fecE",8,0,1
"466","fepA",2,0,1
"467","fhuC",0,0,1
"471","fucK",4,0,1
"472","galK",19,0,1
"473","gntT",1,0,1
"474","gpmM",1,0,1
"475","gpsA",0,0,1
"477","hslR",0,0,1
"478","hupA",1,0,1
"479","hybA",1,0,1
"480","idnT",3,0,1
"481","lnt",0,0,1
"483","malF",19,0,1
"484","malG",19,0,1
"485","malK",1,0,1
"486","malM",1,0,1
"487","malP",1,0,1
"491","mltB",0,0,1
"493","murG",3,0,1
"495","narY",0,0,1
"496","nrdF",3,0,1
"497","pflC",0,0,1
"499","phoB",0,0,1
"500","phoU",17,0,1
"501","aceE",10,0,1
"503","adk",0,0,1
"504","ahpC",2,0,1
"505","aldA",22,0,1
"506","apaG",4,0,1
"507","argS",0,0,1
"509","avtA",0,0,1
"510","can",2,0,1
"511","wzzB",0,0,1
"512","cyoA",41,0,1
"513","cyoC",41,0,1
"514","cyoD",41,0,1
"515","cyoE",41,0,1
"517","dld",0,0,1
"518","dsbB",0,0,1
"519","emrA",0,0,1
"520","fabI",0,0,1
"521","fadR",0,0,1
"522","fdx",0,0,1
"523","fnr",7,0,1
"524","folE",7,0,1
"525","fpr",2,0,1
"526","galF",0,0,1
"527","ghrA",0,0,1
"530","gltX",1,0,1
"532","gnd",5,0,1
"533","gpt",0,0,1
"534","guaA",8,0,1
"535","lolB",0,0,1
"536","hha",2,0,1
"538","iadA",0,0,1
"544","lldP",4,0,1
"546","lysP",0,0,1
"547","mdtJ",1,0,1
"549","menB",0,0,1
"550","mepA",0,0,1
"551","metG",0,0,1
"552","metK",9,0,1
"553","miaB",0,0,1
"554","mipA",0,0,1
"555","mreB",0,0,1
"558","nadE",1,0,1
"559","ndh",19,0,1
"560","ndk",0,0,1
