"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"85","manZ",1,0,0,0,0,0,0,0,0,0.0909090909090909,0.909090909090909,0,0
"86","ccmD",1,0,0.0606060606060606,0,0,0.242424242424242,0,0,0.121212121212121,0,0.575757575757575,0,0
"87","ydhY",1,0,0,0,0,0,0,0,0,0,1,0,0
"88","yhjE",1,0,0,0,0,0,0,0,0,0,1,0,0
"89","fepC",0,1,0,0,0,0,0,0,0,0,0,0,0
"90","mgsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","sucC",1,0,0,0,0,0,0,0,0,0,0.945945945945945,0.0540540540540541,0
"92","hypE",1,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.333333333333333,0,0.416666666666667,0,0
"93","csrD",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","pykA",1,0,0,0,0,0,0,0,0,0,1,0,0
"95","yaeP",0,1,0,0,0,0,0,0,0,0,0,0,0
"96","trmA",1,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0
"97","pepD",1,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0
"98","yciH",1,0,0,0,0,0,0,0,0,0,1,0,0
"99","galT",1,0,0,0,0,0,0,0,0,0.0833333333333333,0.916666666666667,0,0
"100","yhdH",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","ynfH",1,0,0,0,0,0,0,0,0,0,1,0,0
"102","sodB",1,0,0,0,0,0,0,0,0,0,1,0,0
"103","sstT",1,0,0,0,0,0,0,0,0,0,1,0,0
"104","nadB",0,1,0,0,0,0,0,0,0,0,0,0,0
"105","ybjI",0,1,0,0,0,0,0,0,0,0,0,0,0
"106","purT",1,0,0,0,0,0,0,0,0,0,1,0,0
"107","fdoI",0,1,0,0,0,0,0,0,0,0,0,0,0
"108","exbB",1,0,0,0,0,0.25,0,0,0,0,0.75,0,0
"109","yebZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","pnuC",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","rutE",1,0,0,0,0,0,0,0,0,0,1,0,0
"112","yeiE",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","moeA",1,0,0,0,0,0,0,0,0,0,1,0,0
"114","melA",0,1,0,0,0,0,0,0,0,0,0,0,0
"115","ilvE",0,1,0,0,0,0,0,0,0,0,0,0,0
"116","yddA",0,1,0,0,0,0,0,0,0,0,0,0,0
"117","cysE",1,0,0,0,0,0,0,0,0,0,1,0,0
"118","sanA",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","manY",1,0,0,0,0,0,0,0,0,0.0588235294117647,0.941176470588235,0,0
"120","hisQ",1,0,0,0,0,0,0,0,0,0,1,0,0
"121","dfp",0,1,0,0,0,0,0,0,0,0,0,0,0
"122","ydiP",0,1,0,0,0,0,0,0,0,0,0,0,0
"123","ycjY",0,1,0,0,0,0,0,0,0,0,0,0,0
