"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"101","hyaE",1,0,0,0.6,0,0,0,0.1,0.3,0,0
"102","aceK",1,0,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0,0
"103","yaeP",0,1,0,0,0,0,0,0,0,0,0
"104","sanA",0,1,0,0,0,0,0,0,0,0,0
"105","mutM",1,0,0,0,0,0,0,0,0,1,0
"106","yiaD",0,1,0,0,0,0,0,0,0,0,0
"107","yfcZ",1,0,0,0,0,0,1,0,0,0,0
"108","dld",0,1,0,0,0,0,0,0,0,0,0
"109","glpK",1,0,0,0.5,0,0,0,0,0.5,0,0
"110","pepB",0,1,0,0,0,0,0,0,0,0,0
"111","yjjP",0,1,0,0,0,0,0,0,0,0,0
"112","fimI",1,0,0,0.5,0,0,0,0.5,0,0,0
"113","rimI",0,1,0,0,0,0,0,0,0,0,0
"114","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"115","ghoS",0,1,0,0,0,0,0,0,0,0,0
"116","ymdB",0,1,0,0,0,0,0,0,0,0,0
"117","selA",0,1,0,0,0,0,0,0,0,0,0
"118","cdsA",0,1,0,0,0,0,0,0,0,0,0
"119","putP",1,0,0,0,0,0,0.25,0,0.75,0,0
"120","dmsB",1,0,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0.25,0.166666666666667,0
"121","rzpD",0,1,0,0,0,0,0,0,0,0,0
"122","yfcA",0,1,0,0,0,0,0,0,0,0,0
"123","mcbA",0,1,0,0,0,0,0,0,0,0,0
"124","hypC",1,0,0,0.6,0,0.2,0,0.2,0,0,0
"125","grxA",0,1,0,0,0,0,0,0,0,0,0
"126","ais",0,1,0,0,0,0,0,0,0,0,0
"127","yehS",0,1,0,0,0,0,0,0,0,0,0
"128","ycdY",0,1,0,0,0,0,0,0,0,0,0
"129","torD",1,0,0,0.5,0,0,0,0,0.5,0,0
"130","glnD",1,0,0,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0,0
"131","yjjW",0,1,0,0,0,0,0,0,0,0,0
"132","fepB",1,0,0,0,0,0,0,0,1,0,0
"133","ydgJ",0,1,0,0,0,0,0,0,0,0,0
"134","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476,0
"135","smg",0,1,0,0,0,0,0,0,0,0,0
"136","potI",1,0,0,1,0,0,0,0,0,0,0
