"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"Plastic
genes",77.6146788990826,22.3853211009174,39.2402238260972,14.1262615774329,5.89881134815058,3.10501331009752,0.197895476228194,0.11369734265596,9.25011832954449,2.22782101226767,2.8190005851786,0.635836091429544,0
"Non-plastic
genes",28.7128712871287,71.2871287128713,12.1294056097339,9.32157125486985,2.13001563314226,0.285956227201668,0.123762376237624,0,3.45941173064675,0.66006600660066,0.602682448695997,0,0
