"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"94","fdoH",0,1,0,0,0,0,0,0,0,0,0
"95","flgB",1,0,0,1,0,0,0,0,0,0,0
"96","flgC",1,0,0,1,0,0,0,0,0,0,0
"97","flgD",1,0,0,1,0,0,0,0,0,0,0
"98","flgE",1,0,0,1,0,0,0,0,0,0,0
"99","flgF",1,0,0,1,0,0,0,0,0,0,0
"100","flgG",1,0,0,1,0,0,0,0,0,0,0
"101","flgI",1,0,0,1,0,0,0,0,0,0,0
"102","flgJ",1,0,0,1,0,0,0,0,0,0,0
"103","flgK",0,1,0,0,0,0,0,0,0,0,0
"104","flgL",0,1,0,0,0,0,0,0,0,0,0
"105","gatA",1,0,0,0.5,0,0,0,0,0,0.5,0
"106","gatB",1,0,0,0.5,0,0,0,0,0,0.5,0
"107","gatC",1,0,0,0.5,0,0,0,0,0,0.5,0
"108","gatD",1,0,0,0.5,0,0,0,0,0,0.5,0
"109","gatZ",1,0,0,0.5,0,0,0,0,0,0.5,0
"110","glcC",1,0,0,0.2,0.2,0,0,0,0.2,0.4,0
"111","gltA",1,0,0,0.25,0,0.125,0.125,0.25,0,0.25,0
"112","gltB",1,0,0.0357142857142857,0.321428571428571,0.178571428571429,0,0.107142857142857,0.0714285714285714,0.0357142857142857,0.25,0
"113","gltD",1,0,0.0357142857142857,0.321428571428571,0.178571428571429,0,0.107142857142857,0.0714285714285714,0.0357142857142857,0.25,0
"114","gpmA",1,0,0,0.25,0.25,0,0,0,0,0.5,0
"115","grxA",0,1,0,0,0,0,0,0,0,0,0
"116","gshA",0,1,0,0,0,0,0,0,0,0,0
"117","gshB",0,1,0,0,0,0,0,0,0,0,0
"118","hemB",1,0,0,0,0,0,0,0,0,1,0
"119","hsdR",0,1,0,0,0,0,0,0,0,0,0
"120","hsdS",0,1,0,0,0,0,0,0,0,0,0
"121","hslJ",1,0,0,0,0,0,0,0,0,1,0
"122","iap",0,1,0,0,0,0,0,0,0,0,0
"123","idi",0,1,0,0,0,0,0,0,0,0,0
"124","ispF",0,1,0,0,0,0,0,0,0,0,0
"125","kgtP",1,0,1,0,0,0,0,0,0,0,0
"126","lipA",0,1,0,0,0,0,0,0,0,0,0
"127","lldD",1,0,0,0,0,0,0,0,0,1,0
"128","lpxD",1,0,0,0,0,0,0,1,0,0,0
"129","lysC",0,1,0,0,0,0,0,0,0,0,0
"130","map",1,0,0,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0,0.142857142857143,0
"131","marB",1,0,0,0.357142857142857,0.142857142857143,0,0.0714285714285714,0.107142857142857,0.0357142857142857,0.285714285714286,0
"132","marR",1,0,0,0.555555555555556,0.166666666666667,0,0,0.166666666666667,0.0555555555555556,0.0555555555555556,0
"133","mdaB",1,0,0,0.5,0,0,0,0.5,0,0,0
"134","mdtG",0,1,0,0,0,0,0,0,0,0,0
"135","menF",0,1,0,0,0,0,0,0,0,0,0
"136","metN",1,0,0,0,0,0,0,0,0,1,0
"137","mltC",0,1,0,0,0,0,0,0,0,0,0
"138","mqo",0,1,0,0,0,0,0,0,0,0,0
"139","murE",1,0,0,0,0.2,0,0.2,0,0,0.6,0
"140","murF",1,0,0,0,0.2,0,0.2,0,0,0.6,0
"141","nfsA",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0,0.142857142857143,0
"142","nuoC",1,0,0.142857142857143,0.142857142857143,0.0714285714285714,0,0.214285714285714,0,0.142857142857143,0.285714285714286,0
"143","nuoN",1,0,0.117647058823529,0.117647058823529,0.0588235294117647,0,0.294117647058824,0,0.117647058823529,0.294117647058824,0
"144","pdhR",1,0,0,0.6,0,0,0,0.2,0.2,0,0
"145","pdxY",0,1,0,0,0,0,0,0,0,0,0
"146","proP",1,0,0,1,0,0,0,0,0,0,0
"147","rbsA",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"148","rbsC",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"149","rcsA",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.166666666666667,0.166666666666667,0
"150","rimI",0,1,0,0,0,0,0,0,0,0,0
"151","rpoE",1,0,0,0.391304347826087,0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0,0.347826086956522,0
"152","rseA",1,0,0,0.571428571428572,0.0857142857142857,0.0571428571428571,0.0571428571428571,0.0857142857142857,0,0.142857142857143,0
"153","rseB",1,0,0,0.575757575757575,0.0909090909090909,0.0606060606060606,0.0606060606060606,0.0606060606060606,0,0.151515151515152,0
"154","sdhA",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"155","sdhB",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"156","serV",0,1,0,0,0,0,0,0,0,0,0
"157","gcvT",1,0,0,0.5,0,0.25,0,0,0,0.25,0
"158","glgS",1,0,0,0,0,0,0,0.5,0,0.5,0
"159","glpA",1,0,0,0.538461538461539,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0
"160","hflC",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"161","hflK",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"162","hflX",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"163","htpX",1,0,0,0,0,0,1,0,0,0,0
"164","ilvB",1,0,0,0.5,0,0,0,0,0,0.5,0
"165","ilvG",0,1,0,0,0,0,0,0,0,0,0
"166","ilvN",1,0,0,1,0,0,0,0,0,0,0
"167","ivbL",1,0,0,0.5,0,0,0,0,0,0.5,0
"168","katG",1,0,0,0.4,0,0.3,0,0.1,0,0.2,0
"169","maa",0,1,0,0,0,0,0,0,0,0,0
"170","manX",1,0,0,0.3,0,0.1,0.1,0,0.1,0.4,0
"171","mhpC",1,0,0,1,0,0,0,0,0,0,0
"172","miaA",1,0,0,1,0,0,0,0,0,0,0
"173","mutL",1,0,0,1,0,0,0,0,0,0,0
"174","nadA",0,1,0,0,0,0,0,0,0,0,0
"175","nmpC",0,1,0,0,0,0,0,0,0,0,0
"176","nrdD",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"177","nrdG",1,0,0,0.25,0,0.25,0,0,0,0.5,0
"178","rppH",0,1,0,0,0,0,0,0,0,0,0
"179","yjdM",0,1,0,0,0,0,0,0,0,0,0
"180","pitA",0,1,0,0,0,0,0,0,0,0,0
"181","pntA",1,0,0,0.5,0.25,0,0,0,0,0.25,0
"182","ppiA",1,0,0,0.5,0,0,0,0,0,0.5,0
"183","pppA",0,1,0,0,0,0,0,0,0,0,0
"184","proV",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0,0.142857142857143,0
"185","purD",1,0,0,0,0,0,0,0,0,1,0
"186","purL",1,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"187","purN",1,0,0,0,0,0,0,0,0,1,0
"188","putA",1,0,0,0.5,0,0,0,0,0,0.5,0
"189","recR",0,1,0,0,0,0,0,0,0,0,0
"190","rpoH",1,0,0,0.65,0,0,0,0.25,0,0.1,0
"191","rzpD",0,1,0,0,0,0,0,0,0,0,0
"192","sdaB",0,1,0,0,0,0,0,0,0,0,0
"193","sdaC",0,1,0,0,0,0,0,0,0,0,0
"194","secD",0,1,0,0,0,0,0,0,0,0,0
"195","dedA",0,1,0,0,0,0,0,0,0,0,0
"196","dinI",1,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"197","dinJ",1,0,0,0,0.2,0,0.4,0,0,0.4,0
"198","eptB",1,0,0,0.75,0,0,0,0,0,0.25,0
"199","fadL",1,0,0.125,0.25,0.25,0.125,0,0.125,0.125,0,0
"200","folD",0,1,0,0,0,0,0,0,0,0,0
"201","fucR",1,0,0,1,0,0,0,0,0,0,0
"202","glmU",0,1,0,0,0,0,0,0,0,0,0
"203","glpB",1,0,0,0.636363636363636,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0
"204","glpC",1,0,0,0.636363636363636,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0
"205","flgM",1,0,0,0.384615384615385,0.384615384615385,0,0.153846153846154,0,0,0.0769230769230769,0
"206","flgN",1,0,0,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0
"207","fliA",1,0,0.1,0.25,0.3,0.05,0.15,0,0,0.15,0
"208","fliC",1,0,0,0.25,0.25,0,0,0.25,0.25,0,0
"209","fliD",1,0,0,1,0,0,0,0,0,0,0
"210","fliE",1,0,0,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0
"211","fliF",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"212","fliG",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"213","fliH",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"214","fliI",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"215","fliJ",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"216","fliK",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"217","fliL",1,0,0,1,0,0,0,0,0,0,0
"218","fliM",1,0,0,1,0,0,0,0,0,0,0
"219","fliN",1,0,0,1,0,0,0,0,0,0,0
"220","fliO",1,0,0,1,0,0,0,0,0,0,0
"221","glpX",1,0,0,0.5,0,0,0,0,0,0.5,0
"222","glyA",1,0,0,0,0,0,0,0,0,1,0
"223","hisF",1,0,0,0.5,0,0,0,0.5,0,0,0
"224","hisH",1,0,0,0.5,0,0,0,0.5,0,0,0
"225","hisI",1,0,0,0.5,0,0,0,0.5,0,0,0
"226","hisJ",1,0,0,0.8,0,0,0,0,0,0.2,0
"227","ispE",0,1,0,0,0,0,0,0,0,0,0
"228","malT",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"229","fliS",1,0,0,1,0,0,0,0,0,0,0
"230","fliT",1,0,0,1,0,0,0,0,0,0,0
"231","fliZ",1,0,0.0666666666666667,0.3,0.4,0.0333333333333333,0.1,0,0,0.1,0
"232","galM",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"233","gdhA",1,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.363636363636364,0,0,0.363636363636364,0
"234","yhgH",1,0,0,0.5,0,0,0,0,0,0.5,0
"235","groL",1,0,0,1,0,0,0,0,0,0,0
"236","groS",1,0,0,0.4,0,0.2,0,0,0.2,0.2,0
"237","grpE",0,1,0,0,0,0,0,0,0,0,0
"238","hslO",0,1,0,0,0,0,0,0,0,0,0
"239","hslU",0,1,0,0,0,0,0,0,0,0,0
"240","hslV",0,1,0,0,0,0,0,0,0,0,0
"241","htpG",1,0,0,0.5,0,0,0,0,0,0.5,0
"242","ygiM",1,0,0,0,0,0,0,0,0,1,0
"243","osmB",1,0,0,1,0,0,0,0,0,0,0
"244","potD",0,1,0,0,0,0,0,0,0,0,0
"245","purA",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"246","purC",1,0,0,0,0,0,0,0,0,1,0
"247","purH",1,0,0.25,0,0,0,0,0,0,0.75,0
"248","purK",1,0,0,0,0,0,0,0,0,1,0
"249","purM",1,0,0,0,0,0,0,0,0,1,0
"250","pyrB",0,1,0,0,0,0,0,0,0,0,0
"251","pyrC",1,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"252","pyrL",0,1,0,0,0,0,0,0,0,0,0
"253","srkA",1,0,0,1,0,0,0,0,0,0,0
"254","lipB",1,0,0,1,0,0,0,0,0,0,0
"255","lon",1,0,0,1,0,0,0,0,0,0,0
"256","modB",1,0,0,1,0,0,0,0,0,0,0
"257","motA",0,1,0,0,0,0,0,0,0,0,0
"258","motB",0,1,0,0,0,0,0,0,0,0,0
"259","nhaB",0,1,0,0,0,0,0,0,0,0,0
"260","nlpA",1,0,0,0,1,0,0,0,0,0,0
"261","nupG",1,0,0,0,0,0,0,0,0,1,0
"262","ompT",1,0,0,0,0.5,0,0,0,0,0.5,0
"263","prlC",0,1,0,0,0,0,0,0,0,0,0
"264","rbsB",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"265","rbsD",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"266","rbsK",1,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0.571428571428571,0
"267","ymcE",0,1,0,0,0,0,0,0,0,0,0
"268","tusA",0,1,0,0,0,0,0,0,0,0,0
"269","yggI",0,1,0,0,0,0,0,0,0,0,0
"270","sthA",0,1,0,0,0,0,0,0,0,0,0
"271","sucA",1,0,0.1,0.2,0.05,0.15,0.15,0.1,0,0.25,0
"272","sucD",1,0,0.111111111111111,0.222222222222222,0.0555555555555556,0.111111111111111,0.111111111111111,0.111111111111111,0,0.277777777777778,0
"273","tas",0,1,0,0,0,0,0,0,0,0,0
"274","tehA",0,1,0,0,0,0,0,0,0,0,0
"275","thrC",1,0,0,0.5,0,0,0,0.5,0,0,0
"276","trpB",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"277","uspD",0,1,0,0,0,0,0,0,0,0,0
"278","xseA",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0
"279","sgrR",1,0,0,0.5,0,0,0,0.5,0,0,0
"280","yagU",1,0,0,0.5,0,0,0,0.5,0,0,0
"281","ybaK",0,1,0,0,0,0,0,0,0,0,0
"282","ybfD",0,1,0,0,0,0,0,0,0,0,0
"283","cpoB",0,1,0,0,0,0,0,0,0,0,0
"284","hcxB",0,1,0,0,0,0,0,0,0,0,0
"285","ybjC",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0,0.142857142857143,0
"286","tatD",0,1,0,0,0,0,0,0,0,0,0
"287","tgt",0,1,0,0,0,0,0,0,0,0,0
"288","tnaB",1,0,0,1,0,0,0,0,0,0,0
"289","tnaC",1,0,0,1,0,0,0,0,0,0,0
"290","treB",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"291","treC",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"292","ubiB",0,1,0,0,0,0,0,0,0,0,0
"293","yagE",0,1,0,0,0,0,0,0,0,0,0
"294","pdeL",1,0,0,0,0,0,0,0,0,1,0
"295","yajC",0,1,0,0,0,0,0,0,0,0,0
"296","ybaL",0,1,0,0,0,0,0,0,0,0,0
"297","ybfA",0,1,0,0,0,0,0,0,0,0,0
"298","ybjN",1,0,0,0.444444444444444,0,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0
"299","efeB",0,1,0,0,0,0,0,0,0,0,0
"300","ycfP",0,1,0,0,0,0,0,0,0,0,0
"301","bhsA",1,0,0,0.4,0,0,0.2,0,0.2,0.2,0
"302","ydgD",0,1,0,0,0,0,0,0,0,0,0
"303","nemR",1,0,0,0,0,0,0,0,0,1,0
"304","ydiH",0,1,0,0,0,0,0,0,0,0,0
"305","leuE",0,1,0,0,0,0,0,0,0,0,0
"306","yecD",0,1,0,0,0,0,0,0,0,0,0
"307","tcyL",0,1,0,0,0,0,0,0,0,0,0
"308","yejG",0,1,0,0,0,0,0,0,0,0,0
"309","yfcA",0,1,0,0,0,0,0,0,0,0,0
"310","yfcD",0,1,0,0,0,0,0,0,0,0,0
"311","yfcE",0,1,0,0,0,0,0,0,0,0,0
"312","yfjF",0,1,0,0,0,0,0,0,0,0,0
"313","ratA",0,1,0,0,0,0,0,0,0,0,0
"314","ygbE",0,1,0,0,0,0,0,0,0,0,0
"315","yccA",1,0,0,1,0,0,0,0,0,0,0
"316","tusE",0,1,0,0,0,0,0,0,0,0,0
"317","ldtC",1,0,0,1,0,0,0,0,0,0,0
"318","ydhF",0,1,0,0,0,0,0,0,0,0,0
"319","raiA",1,0,0,1,0,0,0,0,0,0,0
"320","ygaH",0,1,0,0,0,0,0,0,0,0,0
"321","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"322","ygdR",0,1,0,0,0,0,0,0,0,0,0
"323","trmB",0,1,0,0,0,0,0,0,0,0,0
"324","yghG",0,1,0,0,0,0,0,0,0,0,0
"325","yghJ",0,1,0,0,0,0,0,0,0,0,0
"326","ygiB",1,0,0,0.5,0,0,0,0.5,0,0,0
"327","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"328","argO",1,0,0,0.5,0,0.25,0,0.25,0,0,0
"329","rsmE",0,1,0,0,0,0,0,0,0,0,0
"330","ygiW",0,1,0,0,0,0,0,0,0,0,0
"331","yhcN",0,1,0,0,0,0,0,0,0,0,0
"332","tusD",0,1,0,0,0,0,0,0,0,0,0
"333","yheO",0,1,0,0,0,0,0,0,0,0,0
"334","yieE",0,1,0,0,0,0,0,0,0,0,0
"335","yieF",0,1,0,0,0,0,0,0,0,0,0
"336","yigI",0,1,0,0,0,0,0,0,0,0,0
"337","yjeM",1,0,0.5,0,0,0,0.5,0,0,0,0
"338","tabA",0,1,0,0,0,0,0,0,0,0,0
"339","yjjU",0,1,0,0,0,0,0,0,0,0,0
"340","ykgA",0,1,0,0,0,0,0,0,0,0,0
"341","ylaC",0,1,0,0,0,0,0,0,0,0,0
"342","yncD",0,1,0,0,0,0,0,0,0,0,0
"343","yodC",0,1,0,0,0,0,0,0,0,0,0
"344","rcnB",1,0,0,0,0,0,0,0,0,1,0
"345","yraQ",0,1,0,0,0,0,0,0,0,0,0
"346","yhaL",0,1,0,0,0,0,0,0,0,0,0
"347","yhiI",0,1,0,0,0,0,0,0,0,0,0
"348","yjiA",0,1,0,0,0,0,0,0,0,0,0
"349","yjiX",0,1,0,0,0,0,0,0,0,0,0
"350","btsT",1,0,0,0,0,0,0,0.5,0,0.5,0
"351","ykfF",0,1,0,0,0,0,0,0,0,0,0
"352","pdeB",0,1,0,0,0,0,0,0,0,0,0
"353","ylbF",0,1,0,0,0,0,0,0,0,0,0
"354","yncE",1,0,0,1,0,0,0,0,0,0,0
"355","yqjA",1,0,0,0.75,0,0,0,0.25,0,0,0
"356","yqjC",0,1,0,0,0,0,0,0,0,0,0
"357","yqjD",0,1,0,0,0,0,0,0,0,0,0
"358","ytfJ",1,0,0,0,0,1,0,0,0,0,0
"359","recA",1,0,0,0,0.5,0,0,0,0,0.5,0
"360","rnk",0,1,0,0,0,0,0,0,0,0,0
"361","serU",0,1,0,0,0,0,0,0,0,0,0
"362","slt",1,0,0,1,0,0,0,0,0,0,0
"363","speA",1,0,0,0,0,0,0,0,0,1,0
"364","speD",0,1,0,0,0,0,0,0,0,0,0
"365","spy",1,0,0,1,0,0,0,0,0,0,0
"366","tatA",0,1,0,0,0,0,0,0,0,0,0
"367","tatB",0,1,0,0,0,0,0,0,0,0,0
"368","ubiE",0,1,0,0,0,0,0,0,0,0,0
"369","uvrY",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"370","yciB",0,1,0,0,0,0,0,0,0,0,0
"371","yciC",0,1,0,0,0,0,0,0,0,0,0
"372","yciI",0,1,0,0,0,0,0,0,0,0,0
"373","yebE",1,0,0,1,0,0,0,0,0,0,0
"374","mtfA",0,1,0,0,0,0,0,0,0,0,0
"375","btsS",0,1,0,0,0,0,0,0,0,0,0
"376","patZ",1,0,0,1,0,0,0,0,0,0,0
"377","ygiC",1,0,0,0.5,0,0,0,0.5,0,0,0
"378","adeP",0,1,0,0,0,0,0,0,0,0,0
"379","yihA",0,1,0,0,0,0,0,0,0,0,0
"380","yijD",0,1,0,0,0,0,0,0,0,0,0
"381","bsmA",1,0,0,1,0,0,0,0,0,0,0
"382","rraB",0,1,0,0,0,0,0,0,0,0,0
"383","ynfD",0,1,0,0,0,0,0,0,0,0,0
"384","yqaE",1,0,0,0,0,1,0,0,0,0,0
"385","yqgB",0,1,0,0,0,0,0,0,0,0,0
"386","mzrA",1,0,0,0.75,0,0,0,0.25,0,0,0
"387","speG",1,0,0,0,0,0,0,0,0.5,0.5,0
"388","srlA",1,0,0,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0,0,0.416666666666667,0
"389","srlB",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"390","srlD",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"391","srlE",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"392","srlR",1,0,0,1,0,0,0,0,0,0,0
"393","tap",0,1,0,0,0,0,0,0,0,0,0
"394","tar",0,1,0,0,0,0,0,0,0,0,0
"395","tsr",1,0,0,0.5,0,0,0,0,0,0.5,0
"396","tsx",1,0,0,0,0,0,0,0,0,1,0
"397","udp",1,0,0,0.5,0,0,0,0,0,0.5,0
"398","yafE",0,1,0,0,0,0,0,0,0,0,0
"399","yafY",0,1,0,0,0,0,0,0,0,0,0
"400","cnoX",0,1,0,0,0,0,0,0,0,0,0
"401","ybeX",0,1,0,0,0,0,0,0,0,0,0
"402","ybeY",0,1,0,0,0,0,0,0,0,0,0
"403","ybeZ",0,1,0,0,0,0,0,0,0,0,0
"404","pxpA",0,1,0,0,0,0,0,0,0,0,0
"405","ybiX",0,1,0,0,0,0,0,0,0,0,0
"406","ybjX",1,0,0,0,0.5,0,0,0,0,0.5,0
"407","ycgR",1,0,0,1,0,0,0,0,0,0,0
"408","ycjX",0,1,0,0,0,0,0,0,0,0,0
"409","yeaD",1,0,0,0,0,0,0,0,0,1,0
"410","yebW",0,1,0,0,0,0,0,0,0,0,0
"411","yecR",0,1,0,0,0,0,0,0,0,0,0
"412","yeeR",0,1,0,0,0,0,0,0,0,0,0
"413","yffB",1,0,0,1,0,0,0,0,0,0,0
"414","cas2",1,0,0,0.5,0.2,0,0,0.1,0,0.2,0
"415","ygiS",0,1,0,0,0,0,0,0,0,0,0
