"","V1","Loop_number","No_loop","Loop"
"243","ompX",3,0,1
"244","argI",3,0,1
"245","aroL",2,0,1
"246","upp",2,0,1
"247","lamB",3,0,1
"248","yebO",0,0,1
"249","entD",3,0,1
"250","fecR",1,0,1
"251","cysM",2,0,1
"252","fecI",1,0,1
"253","cysD",1,0,1
"254","metF",1,0,1
"255","purB",1,0,1
"256","cysN",1,0,1
"257","cysU",2,0,1
"258","cysJ",6,0,1
"259","astC",7,0,1
"260","astD",5,0,1
"261","sdaA",2,0,1
"262","ugpB",1,0,1
"263","aldB",2,0,1
"264","ccmG",6,0,1
"265","yadS",1,0,1
"266","livG",1,0,1
"267","ecnB",1,0,1
"268","pyrI",0,0,1
"269","flgA",2,0,1
"270","flhB",2,0,1
"271","pspE",2,0,1
"272","yobD",0,0,1
"273","katE",1,0,1
"274","ibpA",2,0,1
"275","purE",1,0,1
"276","ibpB",8,0,1
"277","fhuA",1,0,1
"278","ybaY",0,0,1
"279","ssuC",4,0,1
"280","ssuA",4,0,1
"281","metB",1,0,1
"282","cysI",4,0,1
"283","cpxP",3,0,1
"284","allB",0,0,1
"285","carB",6,0,1
"286","cysP",2,0,1
"287","yfeR",0,0,1
"288","artJ",1,0,1
"289","argD",1,0,1
"290","uidA",1,0,1
"291","ompA",1,0,1
"292","ugd",0,0,1
"293","nanA",3,0,1
"294","nagE",1,0,1
"295","fabB",1,0,1
"296","ubiA",14,0,1
"297","lrhA",0,0,1
"298","yeaY",0,0,1
"299","yibI",0,0,1
"300","garP",4,0,1
"301","tsuA",0,0,1
"302","tsuB",0,0,1
"303","cysC",1,0,1
"304","cysH",4,0,1
"305","cysA",2,0,1
"306","cysW",2,0,1
"307","tcyN",0,0,1
"308","cynT",2,0,1
"309","cynS",1,0,1
"310","cynX",1,0,1
"311","xanP",0,0,1
"312","waaH",1,0,1
"313","ydeN",4,0,1
