"","V1","FFL","No_FFL","NonPl_X"
"1","hisC",0,1,0
"2","livK",1,0,0
"3","tesA",0,1,0
"4","trpD",1,0,0
"5","tcyL",0,1,0
"6","garD",1,0,0
"7","garL",1,0,0
"8","sgbH",1,0,0
"9","uxuB",1,0,0
"10","hcxB",0,1,0
"11","rihA",0,1,0
"12","rihC",0,1,0
"13","ccmC",1,0,0
"14","nohD",0,1,0
"15","sbcB",0,1,0
"16","insH10",0,1,0
"17","insH11",0,1,0
"18","insH3",0,1,0
"19","insH4",0,1,0
"20","insH5",0,1,0
"21","insH6",0,1,0
"22","insH7",0,1,0
"23","insH8",0,1,0
"24","insH9",0,1,0
"25","dgcT",1,0,0
"26","fabR",0,1,0
"27","grcA",1,0,0
"28","cdaR",0,1,0
"29","alaE",1,0,0
"30","yhcE",0,1,0
"31","iraD",1,0,0
"32","ymfL",0,1,0
"33","ypdK",0,1,0
"34","yjbT",0,1,0
"35","livJ",1,0,0
"36","malE",1,0,0
"37","ghxP",0,1,0
"38","ybdL",0,1,0
"39","bssS",1,0,0
"40","yibT",0,1,0
"41","metL",1,0,0
"42","metA",1,0,0
"43","atoD",1,0,0
"44","atoA",1,0,0
"45","rhaA",1,0,0
"46","ykgJ",0,1,0
"47","ybiJ",0,1,0
"48","azoR",0,1,0
"49","yncJ",0,1,0
"50","yhaK",0,1,0
"51","pspG",1,0,0
"52","chiX",0,1,0
"53","ybeD",1,0,0
"54","hspQ",1,0,0
"55","norR",0,1,0
"56","argH",1,0,0
"57","sokX",0,1,0
"58","micA",0,1,0
"59","bssR",0,1,0
"60","ldtE",0,1,0
"61","fklB",0,1,0
"62","tomB",1,0,0
"63","chiP",1,0,0
"64","chiQ",1,0,0
"65","dgcZ",1,0,0
"66","yoaI",0,1,0
"67","hisL",1,0,0
"68","yfgG",1,0,0
"69","gcvB",1,0,0
"70","ryhB",1,0,0
"71","ydcV",1,0,0
"72","patD",1,0,0
"73","rhaS",1,0,0
"74","osmY",1,0,0
"75","asr",1,0,0
"76","ycaC",1,0,0
"77","dps",1,0,0
"78","dadA",1,0,0
"79","dadX",1,0,0
"80","bax",0,1,0
"81","borD",1,0,0
"82","btuB",1,0,0
"83","cirA",1,0,0
"84","asnA",1,0,0
"85","clpB",1,0,0
"86","dcyD",0,1,0
"87","flgH",1,0,0
"88","flhA",1,0,0
"89","flhE",1,0,0
"90","fliQ",1,0,0
"91","fucI",1,0,0
"92","carA",1,0,0
"93","codB",1,0,0
"94","dnaJ",0,1,0
"95","dnaK",0,1,0
"96","flgB",1,0,0
"97","flgC",1,0,0
"98","flgD",1,0,0
"99","flgE",1,0,0
"100","flgF",1,0,0
"101","flgG",1,0,0
"102","flgI",1,0,0
"103","flgJ",1,0,0
"104","flgK",0,1,0
"105","flgL",0,1,0
"106","gatB",1,0,0
"107","gatC",1,0,0
"108","gatD",1,0,0
"109","hsdR",0,1,0
"110","lysC",1,0,0
"111","metN",1,0,0
"112","mqo",1,0,0
"113","rpoE",1,0,0
"114","rseA",1,0,0
"115","glgS",1,0,0
"116","glpA",1,0,0
"117","htpX",1,0,0
"118","nmpC",0,1,0
"119","pppA",0,1,0
"120","purD",1,0,0
"121","purL",1,0,0
"122","eptB",1,0,0
"123","flgM",1,0,0
"124","flgN",1,0,0
"125","hisJ",1,0,0
"126","groL",1,0,0
"127","groS",1,0,0
"128","grpE",1,0,0
"129","hslU",0,1,0
"130","hslV",0,1,0
"131","htpG",1,0,0
"132","ygiM",1,0,0
"133","osmB",1,0,0
"134","purC",1,0,0
"135","purH",1,0,0
"136","purK",1,0,0
"137","purM",1,0,0
"138","pyrB",0,1,0
"139","pyrC",1,0,0
"140","ompT",1,0,0
"141","sucD",1,0,0
"142","treB",1,0,0
"143","treC",1,0,0
"144","ybfA",0,1,0
"145","yhcN",0,1,0
"146","ylaC",0,1,0
"147","yqjA",1,0,0
"148","spy",1,0,0
"149","yebE",1,0,0
"150","yijD",0,1,0
"151","yqaE",1,0,0
"152","srlA",1,0,0
"153","srlB",1,0,0
"154","srlD",1,0,0
"155","srlE",1,0,0
"156","ybjX",1,0,0
"157","ycjX",0,1,0
"158","yecR",1,0,0
"159","ymdA",1,0,0
"160","entE",1,0,0
"161","fecA",1,0,0
"162","fepA",1,0,0
"163","fucK",1,0,0
"164","galK",1,0,0
"165","hybA",1,0,0
"166","idnT",1,0,0
"167","malF",1,0,0
"168","malG",1,0,0
"169","malK",1,0,0
"170","malM",1,0,0
"171","malP",1,0,0
"172","folE",1,0,0
"173","hha",1,0,0
"174","lysP",1,0,0
"175","metK",1,0,0
"176","ycjF",0,1,0
"177","yddB",0,1,0
"178","yqfA",0,1,0
"179","ssuD",1,0,0
"180","csgA",1,0,0
"181","iraP",1,0,0
"182","mcbA",1,0,0
"183","yciG",1,0,0
"184","metE",1,0,0
"185","metR",1,0,0
"186","prpB",1,0,0
"187","prpC",1,0,0
"188","prpD",1,0,0
"189","araA",1,0,0
"190","mglA",1,0,0
"191","mglB",1,0,0
"192","mglC",1,0,0
"193","glcA",1,0,0
"194","glcD",1,0,0
"195","glcE",1,0,0
"196","nirB",1,0,0
"197","yhdW",0,1,0
"198","prpE",1,0,0
"199","fumB",1,0,0
"200","entF",1,0,0
"201","ybdZ",1,0,0
"202","leuA",1,0,0
"203","sodA",1,0,0
"204","entB",1,0,0
"205","fepB",1,0,0
"206","metJ",1,0,0
"207","ompW",1,0,0
"208","efeO",0,1,0
"209","fes",1,0,0
"210","entC",1,0,0
"211","fadE",1,0,0
"212","fepC",1,0,0
"213","galT",1,0,0
"214","purT",1,0,0
"215","yddA",0,1,0
"216","hisQ",1,0,0
"217","aroF",1,0,0
"218","gcvP",1,0,0
"219","gltP",1,0,0
"220","pyrD",1,0,0
"221","acs",1,0,0
"222","efeB",0,1,0
"223","napF",1,0,0
"224","bfd",0,1,0
"225","fhuE",1,0,0
"226","gltK",1,0,0
"227","ilvC",1,0,0
"228","fepG",1,0,0
"229","pqqL",0,1,0
"230","yqhD",1,0,0
"231","aroG",1,0,0
"232","idnO",1,0,0
"233","idnD",1,0,0
"234","idnK",1,0,0
"235","cspG",0,1,0
"236","yjjZ",1,0,0
"237","garR",1,0,0
"238","zraP",1,0,0
"239","pspC",1,0,0
"240","pspD",1,0,0
"241","pspA",1,0,0
"242","pspB",1,0,0
"243","ompX",1,0,0
"244","argI",1,0,0
"245","aroL",1,0,0
"246","upp",1,0,0
"247","lamB",1,0,0
"248","yebO",0,1,0
"249","entD",1,0,0
"250","fecR",1,0,0
"251","cysM",1,0,0
"252","fecI",1,0,0
"253","cysD",1,0,0
"254","metF",1,0,0
"255","purB",1,0,0
"256","cysN",1,0,0
"257","cysU",1,0,0
"258","cysJ",1,0,0
"259","astC",1,0,0
"260","astD",1,0,0
"261","sdaA",1,0,0
"262","ugpB",1,0,0
"263","aldB",1,0,0
"264","ccmG",1,0,0
"265","yadS",1,0,0
"266","livG",1,0,0
"267","ecnB",1,0,0
"268","pyrI",0,1,0
"269","flgA",1,0,0
"270","flhB",1,0,0
"271","pspE",1,0,0
"272","yobD",0,1,0
"273","katE",1,0,0
"274","ibpA",1,0,0
"275","purE",1,0,0
"276","ibpB",1,0,0
"277","fhuA",1,0,0
"278","ybaY",0,1,0
"279","ssuC",1,0,0
"280","ssuA",1,0,0
"281","metB",1,0,0
"282","cysI",1,0,0
"283","cpxP",1,0,0
"284","allB",1,0,0
"285","carB",1,0,0
"286","cysP",1,0,0
"287","yfeR",0,1,0
"288","artJ",1,0,0
"289","argD",1,0,0
"290","uidA",1,0,0
"291","ompA",1,0,0
"292","ugd",0,1,0
"293","nanA",1,0,0
"294","nagE",0,1,0
"295","fabB",1,0,0
"296","ubiA",1,0,0
"297","lrhA",0,1,0
"298","yeaY",0,1,0
"299","yibI",0,1,0
"300","garP",1,0,0
"301","tsuA",0,1,0
"302","tsuB",0,1,0
"303","cysC",1,0,0
"304","cysH",1,0,0
"305","cysA",1,0,0
"306","cysW",1,0,0
"307","tcyN",0,1,0
"308","cynT",1,0,0
"309","cynS",1,0,0
"310","cynX",1,0,0
"311","xanP",0,1,0
"312","waaH",1,0,0
"313","ydeN",1,0,0
