"","V1","FBL_number","No_FBL","FBL"
"242","fliG",0,0,1
"243","fliH",0,0,1
"244","fliI",0,0,1
"245","fliJ",0,0,1
"246","fliK",0,0,1
"247","fliL",0,0,1
"248","fliM",0,0,1
"249","fliN",0,0,1
"250","fliO",0,0,1
"251","glpX",0,0,1
"252","glyA",0,0,1
"253","hisF",0,0,1
"254","hisH",0,0,1
"255","hisI",0,0,1
"256","hisJ",0,0,1
"257","ispE",0,0,1
"258","malT",0,0,1
"259","fliS",0,0,1
"260","fliT",0,0,1
"261","fliZ",28,0,1
"262","galM",0,0,1
"263","gdhA",0,0,1
"264","yhgH",0,0,1
"265","groL",0,0,1
"266","groS",0,0,1
"267","grpE",0,0,1
"268","hslO",0,0,1
"269","hslU",0,0,1
"270","hslV",0,0,1
"271","htpG",0,0,1
"272","ygiM",0,0,1
"273","osmB",0,0,1
"274","potD",0,0,1
"275","purA",0,0,1
"276","purC",0,0,1
"277","purH",0,0,1
"278","purK",0,0,1
"279","purM",0,0,1
"280","pyrB",0,0,1
"281","pyrC",0,0,1
"282","pyrL",0,0,1
"283","srkA",0,0,1
"284","lipB",0,0,1
"285","lon",0,0,1
"286","modB",0,0,1
"287","motA",0,0,1
"288","motB",0,0,1
"289","nhaB",0,0,1
"290","nlpA",0,0,1
"291","nupG",0,0,1
"292","ompT",0,0,1
"293","prlC",0,0,1
"294","rbsB",0,0,1
"295","rbsD",0,0,1
"296","rbsK",0,0,1
"297","ymcE",0,0,1
"298","tusA",0,0,1
"299","yggI",0,0,1
"300","sthA",0,0,1
"301","sucA",0,0,1
"302","sucD",0,0,1
"303","tas",0,0,1
"304","tehA",0,0,1
"305","thrC",0,0,1
"306","trpB",0,0,1
"307","uspD",0,0,1
"308","xseA",0,0,1
"309","sgrR",0,0,1
"310","yagU",0,0,1
"311","ybaK",0,0,1
"312","ybfD",0,0,1
"313","cpoB",0,0,1
"314","hcxB",0,0,1
"315","ybjC",0,0,1
"316","tatD",0,0,1
"317","tgt",0,0,1
"318","tnaB",0,0,1
"319","tnaC",0,0,1
"320","treB",0,0,1
"321","treC",0,0,1
"322","ubiB",0,0,1
"323","yagE",0,0,1
"324","pdeL",0,0,1
"325","yajC",0,0,1
"326","ybaL",0,0,1
"327","ybfA",0,0,1
"328","ybjN",0,0,1
"329","efeB",0,0,1
"330","ycfP",0,0,1
"331","bhsA",0,0,1
"332","ydgD",0,0,1
"333","nemR",0,0,1
"334","ydiH",0,0,1
"335","leuE",0,0,1
"336","yecD",0,0,1
"337","tcyL",0,0,1
"338","yejG",0,0,1
"339","yfcA",0,0,1
"340","yfcD",0,0,1
"341","yfcE",0,0,1
"342","yfjF",0,0,1
"343","ratA",0,0,1
"344","ygbE",0,0,1
"345","yccA",0,0,1
"346","tusE",0,0,1
"347","ldtC",0,0,1
"348","ydhF",0,0,1
"349","raiA",0,0,1
"350","ygaH",0,0,1
"351","ygaZ",0,0,1
"352","ygdR",0,0,1
"353","trmB",0,0,1
"354","yghG",0,0,1
"355","yghJ",0,0,1
"356","ygiB",0,0,1
"357","ygdQ",0,0,1
