"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"125","gatB",0,1,0,0,0,0,0,0,0
"126","gatC",0,1,0,0,0,0,0,0,0
"127","gatD",0,1,0,0,0,0,0,0,0
"128","gatZ",0,1,0,0,0,0,0,0,0
"129","glcC",0,1,0,0,0,0,0,0,0
"130","gltA",0,1,0,0,0,0,0,0,0
"131","gltB",0,1,0,0,0,0,0,0,0
"132","gltD",0,1,0,0,0,0,0,0,0
"133","gpmA",0,1,0,0,0,0,0,0,0
"134","grxA",0,1,0,0,0,0,0,0,0
"135","gshA",0,1,0,0,0,0,0,0,0
"136","gshB",0,1,0,0,0,0,0,0,0
"137","hemB",0,1,0,0,0,0,0,0,0
"138","hsdR",0,1,0,0,0,0,0,0,0
"139","hsdS",0,1,0,0,0,0,0,0,0
"140","hslJ",0,1,0,0,0,0,0,0,0
"141","iap",0,1,0,0,0,0,0,0,0
"142","idi",0,1,0,0,0,0,0,0,0
"143","ispF",0,1,0,0,0,0,0,0,0
"144","kgtP",0,1,0,0,0,0,0,0,0
"145","lipA",0,1,0,0,0,0,0,0,0
"146","lldD",0,1,0,0,0,0,0,0,0
"147","lpxD",0,1,0,0,0,0,0,0,0
"148","lysC",0,1,0,0,0,0,0,0,0
"149","map",0,1,0,0,0,0,0,0,0
"150","marB",0,1,0,0,0,0,0,0,0
"151","marR",1,0,1,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0
"152","mdaB",0,1,0,0,0,0,0,0,0
"153","mdtG",0,1,0,0,0,0,0,0,0
"154","menF",0,1,0,0,0,0,0,0,0
"155","metN",0,1,0,0,0,0,0,0,0
"156","mltC",0,1,0,0,0,0,0,0,0
"157","mqo",0,1,0,0,0,0,0,0,0
"158","murE",0,1,0,0,0,0,0,0,0
"159","murF",0,1,0,0,0,0,0,0,0
"160","nfsA",0,1,0,0,0,0,0,0,0
"161","nuoC",0,1,0,0,0,0,0,0,0
"162","nuoN",0,1,0,0,0,0,0,0,0
"163","pdhR",0,1,0,0,0,0,0,0,0
"164","pdxY",0,1,0,0,0,0,0,0,0
"165","proP",0,1,0,0,0,0,0,0,0
"166","rbsA",0,1,0,0,0,0,0,0,0
"167","rbsC",0,1,0,0,0,0,0,0,0
"168","rcsA",1,0,1,0,0,0,0.5,0.5,0
"169","rimI",0,1,0,0,0,0,0,0,0
"170","rpoE",1,0,0,0.999999999999997,0.00995024875621891,0.0597014925373134,0.203980099502488,0.726368159203978,0
"171","rseA",0,1,0,0,0,0,0,0,0
"172","rseB",0,1,0,0,0,0,0,0,0
"173","sdhA",0,1,0,0,0,0,0,0,0
"174","sdhB",0,1,0,0,0,0,0,0,0
"175","serV",0,1,0,0,0,0,0,0,0
"176","gcvT",0,1,0,0,0,0,0,0,0
"177","glgS",0,1,0,0,0,0,0,0,0
"178","glpA",0,1,0,0,0,0,0,0,0
"179","hflC",0,1,0,0,0,0,0,0,0
"180","hflK",0,1,0,0,0,0,0,0,0
"181","hflX",0,1,0,0,0,0,0,0,0
"182","htpX",0,1,0,0,0,0,0,0,0
"183","ilvB",0,1,0,0,0,0,0,0,0
"184","ilvG",0,1,0,0,0,0,0,0,0
"185","ilvN",0,1,0,0,0,0,0,0,0
"186","ivbL",0,1,0,0,0,0,0,0,0
"187","katG",0,1,0,0,0,0,0,0,0
"188","maa",0,1,0,0,0,0,0,0,0
"189","manX",0,1,0,0,0,0,0,0,0
"190","mhpC",0,1,0,0,0,0,0,0,0
"191","miaA",0,1,0,0,0,0,0,0,0
"192","mutL",0,1,0,0,0,0,0,0,0
"193","nadA",0,1,0,0,0,0,0,0,0
"194","nmpC",0,1,0,0,0,0,0,0,0
"195","nrdD",0,1,0,0,0,0,0,0,0
"196","nrdG",0,1,0,0,0,0,0,0,0
"197","yjdM",0,1,0,0,0,0,0,0,0
"198","pitA",0,1,0,0,0,0,0,0,0
"199","pntA",0,1,0,0,0,0,0,0,0
"200","ppiA",0,1,0,0,0,0,0,0,0
"201","pppA",0,1,0,0,0,0,0,0,0
"202","proV",0,1,0,0,0,0,0,0,0
"203","purD",0,1,0,0,0,0,0,0,0
"204","purL",0,1,0,0,0,0,0,0,0
"205","purN",0,1,0,0,0,0,0,0,0
"206","putA",0,1,0,0,0,0,0,0,0
"207","recR",0,1,0,0,0,0,0,0,0
"208","rpoH",1,0,0,1,0.00546448087431694,0.0382513661202186,0.191256830601093,0.765027322404372,0
"209","rzpD",0,1,0,0,0,0,0,0,0
"210","sdaB",0,1,0,0,0,0,0,0,0
"211","sdaC",0,1,0,0,0,0,0,0,0
"212","secD",0,1,0,0,0,0,0,0,0
"213","dedA",0,1,0,0,0,0,0,0,0
"214","dinI",0,1,0,0,0,0,0,0,0
"215","dinJ",1,0,1,0,1,0,0,0,0
"216","eptB",0,1,0,0,0,0,0,0,0
"217","fadL",0,1,0,0,0,0,0,0,0
"218","folD",0,1,0,0,0,0,0,0,0
"219","fucR",0,1,0,0,0,0,0,0,0
"220","glmU",0,1,0,0,0,0,0,0,0
"221","glpB",0,1,0,0,0,0,0,0,0
"222","glpC",0,1,0,0,0,0,0,0,0
"223","flgM",0,1,0,0,0,0,0,0,0
"224","flgN",0,1,0,0,0,0,0,0,0
"225","fliA",1,0,0,1,0,0.375,0.125,0.5,0
"226","fliC",0,1,0,0,0,0,0,0,0
"227","fliD",0,1,0,0,0,0,0,0,0
"228","fliE",0,1,0,0,0,0,0,0,0
"229","fliF",0,1,0,0,0,0,0,0,0
"230","fliG",0,1,0,0,0,0,0,0,0
"231","fliH",0,1,0,0,0,0,0,0,0
