"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"124","rimM",0,1,0,0,0,0,0,0,0
"125","rplV",0,1,0,0,0,0,0,0,0
"126","rpmF",0,1,0,0,0,0,0,0,0
"127","cmk",0,1,0,0,0,0,0,0,0
"128","rplW",0,1,0,0,0,0,0,0,0
"129","aroE",0,1,0,0,0,0,0,0,0
"130","tilS",0,1,0,0,0,0,0,0,0
"131","yebO",0,1,0,0,0,0,0,0,0
"132","yihL",0,1,0,0,0,0,0,0,0
"133","rnpA",0,1,0,0,0,0,0,0,0
"134","yebC",0,1,0,0,0,0,0,0,0
"135","pyrF",0,1,0,0,0,0,0,0,0
"136","rpsK",0,1,0,0,0,0,0,0,0
"137","gsk",0,1,0,0,0,0,0,0,0
"138","queA",0,1,0,0,0,0,0,0,0
"139","rpmD",0,1,0,0,0,0,0,0,0
"140","rplK",0,1,0,0,0,0,0,0,0
"141","rpsT",0,1,0,0,0,0,0,0,0
"142","entD",0,1,0,0,0,0,0,0,0
"143","ydcL",0,1,0,0,0,0,0,0,0
"144","rpsE",0,1,0,0,0,0,0,0,0
"145","prfB",0,1,0,0,0,0,0,0,0
"146","argA",0,1,0,0,0,0,0,0,0
"147","rpsF",1,0,1,0,1,0,0,0,0
"148","yadC",0,1,0,0,0,0,0,0,0
"149","lpxK",0,1,0,0,0,0,0,0,0
"150","proX",0,1,0,0,0,0,0,0,0
"151","rplQ",0,1,0,0,0,0,0,0,0
"152","rpsH",0,1,0,0,0,0,0,0,0
"153","fecR",0,1,0,0,0,0,0,0,0
"154","yhdZ",0,1,0,0,0,0,0,0,0
"155","thiL",0,1,0,0,0,0,0,0,0
"156","rplX",0,1,0,0,0,0,0,0,0
"157","aroM",0,1,0,0,0,0,0,0,0
"158","yhgF",0,1,0,0,0,0,0,0,0
"159","ilvH",0,1,0,0,0,0,0,0,0
"160","rpmC",0,1,0,0,0,0,0,0,0
"161","yjfC",0,1,0,0,0,0,0,0,0
"162","rpsG",0,1,0,0,0,0,0,0,0
"163","cusC",0,1,0,0,0,0,0,0,0
"164","prmA",0,1,0,0,0,0,0,0,0
"165","rpsJ",0,1,0,0,0,0,0,0,0
"166","bipA",0,1,0,0,0,0,0,0,0
"167","feoB",0,1,0,0,0,0,0,0,0
"168","ldrC",0,1,0,0,0,0,0,0,0
"169","ydiY",0,1,0,0,0,0,0,0,0
"170","rplB",0,1,0,0,0,0,0,0,0
"171","rffG",0,1,0,0,0,0,0,0,0
"172","soxS",1,0,0.0909090909090909,0.909090909090909,0.0454545454545455,0.136363636363636,0.181818181818182,0.636363636363636,0
"173","yjjG",0,1,0,0,0,0,0,0,0
"174","yajR",0,1,0,0,0,0,0,0,0
"175","infA",0,1,0,0,0,0,0,0,0
"176","ycaO",0,1,0,0,0,0,0,0,0
"177","purR",0,1,0,0,0,0,0,0,0
"178","ascF",0,1,0,0,0,0,0,0,0
"179","wecC",0,1,0,0,0,0,0,0,0
"180","pheS",0,1,0,0,0,0,0,0,0
"181","potB",0,1,0,0,0,0,0,0,0
"182","coaD",0,1,0,0,0,0,0,0,0
"183","rplI",0,1,0,0,0,0,0,0,0
"184","rpsP",0,1,0,0,0,0,0,0,0
"185","rpsM",0,1,0,0,0,0,0,0,0
